number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 12,800 ", Not specified , Not specified ,"The monsoon flooding, which UN Secretary-General Antonio Guterres described as “climate carnage,"" affected 33 million people with over 1,600 fatalities and over 12,800 injuries.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
" 1,600 ", Not specified , Not specified ,"The monsoon flooding, which UN Secretary-General Antonio Guterres described as “climate carnage,"" affected 33 million people with over 1,600 fatalities and over 12,800 injuries.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
" 33,000,000 ", Not specified , Not specified ,"The monsoon flooding, which UN Secretary-General Antonio Guterres described as “climate carnage,"" affected 33 million people with over 1,600 fatalities and over 12,800 injuries.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
 22.6% , Women , N/A ,"Women are especially vulnerable to poverty, with only 22.6 per cent of women in Pakistan active in the labour market, and the income of an average woman in Pakistan around 16 per cent of that of an average man.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,Pakistan
" 4,500,000 - 7,000,000 ", -              , -      ,"Heightened poverty Preliminary estimates by the World Bank suggest that as a direct consequence of the floods, the national poverty rate could potentially increase by 4.5 to 7.0 percentage points, pushing between 9.9 and 15.4 million people into poverty and intensifying the depth and severity of poverty for already poor households.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 1 , Man , N/A ,"Women are especially vulnerable to poverty, with only 22.6 per cent of women in Pakistan active in the labour market, and the income of an average woman in Pakistan around 16 per cent of that of an average man.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,Pakistan
 16% , N/A , N/A ,"Women are especially vulnerable to poverty, with only 22.6 per cent of women in Pakistan active in the labour market, and the income of an average woman in Pakistan around 16 per cent of that of an average man.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,Pakistan
 500 ," Farmers, laborers, small traders "," Agriculture, livestock, labor, private sector ","Major sources of livelihood affected including agriculture (62%), Livestock (28%), Labour (47%), Pvt.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 12860                      , N/A             , N/A   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1545                       , N/A             , N/A   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 107                        , not mentioned   , road infrastructure  ,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
"        1,575               ", not mentioned , road infrastructure  ,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1943978                    , N/A             , N/A   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 778560                     , Household       , N/A   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1144787                    , Household       , N/A   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
" 1,695 ", N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
"           2,000,000       ", N/A            , N/A    ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
" 12,865 ", N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
" 800,000 ", Refugees (including Afghans) , Not specified ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
" 1,600 ", Not specified , Not specified ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
 12749 ,   Direct  ,      -       ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
  1486 ,   Direct  ,      -       ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
"           3,500,000        ",     Crops      ,Various ,"With 3.5 million acres of crops devasted and over 936,000 livestock lost, people have also seen their livelihoods affected.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
"           936,000          ",   Livestock     ,Various ,"With 3.5 million acres of crops devasted and over 936,000 livestock lost, people have also seen their livelihoods affected.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
" 575,000 ", N/A , N/A ,"Since the start of the floods, the number of houses destroyed has doubled and the number of houses damaged has increased by an estimated 63 per cent With no designated places to take shelter, a considerable part of the population has been displaced and an estimated 575,000 people live in relief camps.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
" 1,400 ", N/A , N/A ,"The flooding, caused by record monsoon rain and glacial melt, has affected 33 million people and killed almost 1,400, washing away homes, roads, railways, livestock, and crops.",Pakistan,2022-09-27 15:23:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-salesian-missionaries-respond-devastating-flooding,
" 33,000,000 ", N/A , N/A ,"The flooding, caused by record monsoon rain and glacial melt, has affected 33 million people and killed almost 1,400, washing away homes, roads, railways, livestock, and crops.",Pakistan,2022-09-27 15:23:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-salesian-missionaries-respond-devastating-flooding,
            332             ,      Women     , Not specified ,"• At least 1,638 people (including 588 children and 332 women) have died and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
"            1,638           ", Not specified  , Not specified ,"• At least 1,638 people (including 588 children and 332 women) have died and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
"           12,865           ", Not specified  , Not specified ,"• At least 1,638 people (including 588 children and 332 women) have died and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
            588             ,     Children   , Not specified ,"• At least 1,638 people (including 588 children and 332 women) have died and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
" 1,638            ", Not mentioned    , Not mentioned     ,"At least 1,638 people have died, and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
" 12,865           ", Not mentioned    , Not mentioned     ,"At least 1,638 people have died, and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
 4.6% of families , Child Laborers/Children , N/A ,Incidents of child marriage were also reported – 4.6% of families said they had married off one of their children since the flood crisis began.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 7.6 million , Not specified , Not specified ,"Now my parents, siblings and my son are all living together in this tent [provided by Save the Children].” More than two million homes have been destroyed since the floods first hit in June, displacing 7.6 million people.",Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 80% of families , Not applicable , Not applicable ,The floods have decimated water supplies – 80% of families reported not having enough clean water - and many people have no choice but to drink from unsafe or contaminated water sources.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
" 16,503                  ", Not specified  , Not specified ,"1,638 people have died including 588 children and 12,865 injuries in these floods.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 588                     , Children       , Not specified ,"1,638 people have died including 588 children and 12,865 injuries in these floods.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
" 2,000,000                  ", Residential   , N/A                 ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
" 936,000 ", Heads of Livestock , Agriculture ,"It also destroyed 390 vital bridges, 24,000 schools and educational institutes, and 1,460 health centres, in addition to the destruction of millions of hectares of land and agricultural crops, and the death of 936,000 heads of livestock, NDMA's statistics said.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
" 1,460 ", Health Centres , Healthcare ,"It also destroyed 390 vital bridges, 24,000 schools and educational institutes, and 1,460 health centres, in addition to the destruction of millions of hectares of land and agricultural crops, and the death of 936,000 heads of livestock, NDMA's statistics said.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
" 24,000 ", Schools and Educational Institutes , Education ,"It also destroyed 390 vital bridges, 24,000 schools and educational institutes, and 1,460 health centres, in addition to the destruction of millions of hectares of land and agricultural crops, and the death of 936,000 heads of livestock, NDMA's statistics said.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
 390 , N/A , Bridges ,"It also destroyed 390 vital bridges, 24,000 schools and educational institutes, and 1,460 health centres, in addition to the destruction of millions of hectares of land and agricultural crops, and the death of 936,000 heads of livestock, NDMA's statistics said.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
 555 , Children , N/A ,"1,569 people have died including 555 children and 12,860 injuries in these floods.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 12860 , N/A , N/A ,"1,569 people have died including 555 children and 12,860 injuries in these floods.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
" 33,000,000         ", -              , -              ,"Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
" 2,009,794          ", -              , -              ,"Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
" 998,407           ", -              , -              ,"Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
" 12,860           ", -              , -              ,"Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 15569 , N/A , N/A ,"1,569 people have died including 555 children and 12,860 injuries in these floods.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
" 22,000               ", school staff   , education ,"These devastating floods have taken lives, destroyed as many as 22,000 schools -- a shocking figure -- and ripped families apart.",Pakistan,2022-09-23 08:56:16+00:00,News and Press Release,https://reliefweb.int/report/pakistan/education-cannot-wait-announces-us5-million-emergency-grant-response-pakistan-floods,
              10%           ,       N/A       ,   N/A   ,"According to the update, private consumption expanded by 10% in FY2022 resulting in improved employment conditions and higher household incomes.",Pakistan,2022-09-22 00:52:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-economy-slow-2023-amid-strong-climate-headwinds-adb,
             10             ,       N/A       ,   N/A   ,"According to the update, private consumption expanded by 10% in FY2022 resulting in improved employment conditions and higher household incomes.",Pakistan,2022-09-22 00:52:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-economy-slow-2023-amid-strong-climate-headwinds-adb,
" 992,871 ", N/A , N/A ,"As 1,575 people were wounded, 992 thousand 871 houses were damaged due to the flooding.",Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,
" 1,575 ", N/A , N/A ,"As 1,575 people were wounded, 992 thousand 871 houses were damaged due to the flooding.",Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,
 1575                       , N/A            , N/A    ,The heavy rains in Pakistan caused destructive flooding 2 days before and 1061 people lost their lives as 1575 people were wounded at the same time.,Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,Pakistan
 1061                       , N/A            , N/A    ,The heavy rains in Pakistan caused destructive flooding 2 days before and 1061 people lost their lives as 1575 people were wounded at the same time.,Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,Pakistan
"        2,000,000      ",  Construction  , Housing,Over 2 million houses have been destroyed or damaged across the country.,Pakistan,2022-09-20 10:11:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-humanitarian-needs-remain-acute-displaced-flood-hit-areas-pakistan,
 34 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 31 , Workers with no access to education , Not specified ,"These included child labor with the highest ratio of 96%, child forced
marriage at 56%, Psychological trauma at 52%, no access to education for 31% and so on.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 52 , Workers with psychological trauma , Not specified ,"These included child labor with the highest ratio of 96%, child forced
marriage at 56%, Psychological trauma at 52%, no access to education for 31% and so on.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 96 , Child labor , Not specified ,"These included child labor with the highest ratio of 96%, child forced
marriage at 56%, Psychological trauma at 52%, no access to education for 31% and so on.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 56 , Child forced marriage , Not specified ,"These included child labor with the highest ratio of 96%, child forced
marriage at 56%, Psychological trauma at 52%, no access to education for 31% and so on.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 38 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
     4830         ,    Livestock   ,   -    ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 84 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 88 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 91 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
           570            ,       N/A        , Housing ,"In addition, approximately 570 houses were fully and 1730 partially damaged, and about 2,130
families were displaced.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
           1730           ,       N/A        , Housing ,"In addition, approximately 570 houses were fully and 1730 partially damaged, and about 2,130
families were displaced.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 66 , Not specified , Not applicable ,"Most of them (91%) reported a lack of access to essential services,
88% reported property loss as the fundamental reason for distress among the community, followed by loss of
livelihood sources (84%), loss of valuables (66%), lack of information (38%), the prevalence of violence (34%) and
other reasons including safety issues, and harassment etc.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
"           2,130          ",       N/A        ,   N/A    ,"In addition, approximately 570 houses were fully and 1730 partially damaged, and about 2,130
families were displaced.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
             48%           ,    Healthcare  ,   Healthcare   ,"In addition, 48% of
community respondents reported that the patient load on health facilities had increased after the floods.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
" 4,000 children injured ", N/A , N/A ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 1400                  , Not specified   , Not specified ,"An estimated 1,400 people have died and 12,700 injured, but the figures are likely to be higher due to the remote nature of many villages and that many health centres are flooded and unable to report.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
 12700                 , Not specified   , Not specified ,"An estimated 1,400 people have died and 12,700 injured, but the figures are likely to be higher due to the remote nature of many villages and that many health centres are flooded and unable to report.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
 74%                        , Children       , N/A            ,"The remaining 74% said children had no access to education facilities or were reported not going to schools due to floods, according to an IRC assessment.",Pakistan,2022-09-16 13:00:40+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-5-16-september,
 1                          , N/A            , Education      ,"The remaining 74% said children had no access to education facilities or were reported not going to schools due to floods, according to an IRC assessment.",Pakistan,2022-09-16 13:00:40+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-5-16-september,
 400 , Not mentioned , Not mentioned ,"Its efforts proved futile: the ruptured wall inundated approximately 400 villages, affecting nearly 135,000 people and increasing water levels as much as six feet.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
" 135,000 ", Not mentioned , Not mentioned ,"Its efforts proved futile: the ruptured wall inundated approximately 400 villages, affecting nearly 135,000 people and increasing water levels as much as six feet.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
"        1,000,000           ",       N/A      ,     Homes      ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
        130                 ,       N/A      ,   Bridges      ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
