Number of People Mentioned,What Happened,Age,Gender,text,primary_country,date_posted,format,url,NER_extracted_geolocation
"         22,594            ", Damaged/Destroyed , N/A , N/A ,"More than 1,400 people have lost their lives and the Government estimates that 22,594 schools have been damaged or destroyed.",Pakistan,2022-09-23 08:56:16+00:00,News and Press Release,https://reliefweb.int/report/pakistan/education-cannot-wait-announces-us5-million-emergency-grant-response-pakistan-floods,
"         1,400             ",   Dead        , N/A ,  N/A   ,"More than 1,400 people have lost their lives and the Government estimates that 22,594 schools have been damaged or destroyed.",Pakistan,2022-09-23 08:56:16+00:00,News and Press Release,https://reliefweb.int/report/pakistan/education-cannot-wait-announces-us5-million-emergency-grant-response-pakistan-floods,
 1575           , Injured        , NA  , NA     ,The flood resulted in the deaths of 1061 people and injured 1575 others.,Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,
 1061            , Died          , NA  , NA     ,The flood resulted in the deaths of 1061 people and injured 1575 others.,Pakistan,2022-09-21 18:00:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/ihh-takes-action-pakistan,
 550                      , Dead    , Children , Unspecified ,The violent rapids have already claimed the lives of more than 550 children.,Pakistan,2022-09-20 21:45:02+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unicef-geneva-palais-briefing-note-harrowing-situation-children-face-floods-continue-devastate-pakistan,
" 1,500 ", Dead , N/A , N/A ,"The death toll is over 1,500 and rising with 552 children among the dead and some 33 million people affected.",Pakistan,2022-09-20 16:59:08+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-3-floods-20-september-2022,
 552 , Dead , Children , N/A ,"The death toll is over 1,500 and rising with 552 children among the dead and some 33 million people affected.",Pakistan,2022-09-20 16:59:08+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-3-floods-20-september-2022,
 33 million , Affected , N/A , N/A ,"The death toll is over 1,500 and rising with 552 children among the dead and some 33 million people affected.",Pakistan,2022-09-20 16:59:08+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-3-floods-20-september-2022,
 1545             , Death           , N/A , N/A    ,"At least 1,545 people have died, and 12,860 have been injured since 14 June 2022.",Pakistan,2022-09-20 11:45:22+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-19-september-2022,
 12860            , Injured         , N/A , N/A    ,"At least 1,545 people have died, and 12,860 have been injured since 14 June 2022.",Pakistan,2022-09-20 11:45:22+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-19-september-2022,
" 1,300 ", Dead , Unknown , Unknown ,"At least 1,300 people, including 458 children, have died due to the floods, and it is already clear that the death toll will rise.",Pakistan,2022-09-20 11:40:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-third-country-affected-floods-we-are-sending-eu100000-aid,
 458 , Dead , Children , Unknown ,"At least 1,300 people, including 458 children, have died due to the floods, and it is already clear that the death toll will rise.",Pakistan,2022-09-20 11:40:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-third-country-affected-floods-we-are-sending-eu100000-aid,
 12900                     , Injured               , N/A , N/A    ,"More than 12,900 injuries have been recorded since mid-June, over 4,000 of whom are children.",Pakistan,2022-09-20 10:11:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-humanitarian-needs-remain-acute-displaced-flood-hit-areas-pakistan,
 4000                      , Injured (children)    , N/A , Child  ,"More than 12,900 injuries have been recorded since mid-June, over 4,000 of whom are children.",Pakistan,2022-09-20 10:11:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-humanitarian-needs-remain-acute-displaced-flood-hit-areas-pakistan,
 18 , Missing ,  ,  ,"The ENI data informed that 36 refugees died in this crisis, around 372 were severely injured, and 18 were missing
in these districts.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 0.85 , Without Electricity , N/A , N/A ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 372 , Severely injured ,  ,  ,"The ENI data informed that 36 refugees died in this crisis, around 372 were severely injured, and 18 were missing
in these districts.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 36 , Dead ,  ,  ,"The ENI data informed that 36 refugees died in this crisis, around 372 were severely injured, and 18 were missing
in these districts.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
" 1,500 ", Dead , - , - ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
" 12,800 ", Injured , - , - ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 552 , Dead , Children , Male and Female ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
" 4,000 ", Injured , Children , Male and Female ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 1.14 million , Damaged houses , - , - ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
" 765,000 ", Destroyed houses , - , - ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
"     1,400       ",     Died      , N/A ,  N/A   ,"An estimated 1,400 people have died and 12,700 injured, but the figures are likely to be higher due to the remote nature of many villages and that many health centres are flooded and unable to report.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
"     12,700      ",     Injured   , N/A ,  N/A   ,"An estimated 1,400 people have died and 12,700 injured, but the figures are likely to be higher due to the remote nature of many villages and that many health centres are flooded and unable to report.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
             10            ,           Dead         , N/A ,  N/A   ,"Nazakat Jabeen, Monitoring and Evaluation, Gilgit-Baltistan Flash floods also struck our village where 10 people lost their lives and 150 families were impacted.",Pakistan,2022-09-16 20:57:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/between-work-and-safety-responding-floods-pakistan,
            150            ,         Impacted       , N/A ,  N/A   ,"Nazakat Jabeen, Monitoring and Evaluation, Gilgit-Baltistan Flash floods also struck our village where 10 people lost their lives and 150 families were impacted.",Pakistan,2022-09-16 20:57:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/between-work-and-safety-responding-floods-pakistan,
 33 million , affected , Not mentioned , Not mentioned ,"An estimated 33 million people have been affected, nearly 1,400 have died, and more than 12,700 have been injured.",Pakistan,2022-09-15 23:25:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-20-million-additional-humanitarian-assistance-response-flooding-pakistan,
" 12,700 ", injured , Not mentioned , Not mentioned ,"An estimated 33 million people have been affected, nearly 1,400 have died, and more than 12,700 have been injured.",Pakistan,2022-09-15 23:25:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-20-million-additional-humanitarian-assistance-response-flooding-pakistan,
" 1,400 ", died , Not mentioned , Not mentioned ,"An estimated 33 million people have been affected, nearly 1,400 have died, and more than 12,700 have been injured.",Pakistan,2022-09-15 23:25:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-20-million-additional-humanitarian-assistance-response-flooding-pakistan,
 1200             , Killed        , NA , NA     ,"Health officials are concerned about large-scale outbreaks of waterborne diseases—namely cholera, diarrhea, and malaria—and respiratory illnesses, which have caused significant strains on health facilities and killed almost 1,200 people.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
" 1,400 ", Killed , N/A , N/A ,"At least 1,400 people have been killed and 12,700 injured.",Pakistan,2022-09-15 09:30:41+00:00,News and Press Release,https://reliefweb.int/report/pakistan/dec-pakistan-floods-appeal-raises-ps25m-two-weeks-rains-return-worst-hit-areas,
" 12,700 ", Injured , N/A , N/A ,"At least 1,400 people have been killed and 12,700 injured.",Pakistan,2022-09-15 09:30:41+00:00,News and Press Release,https://reliefweb.int/report/pakistan/dec-pakistan-floods-appeal-raises-ps25m-two-weeks-rains-return-worst-hit-areas,
 12800 , Injured , - , - ,"According to the National Disaster Management Authority (NDMA), more than 1,480 people died, and almost 12,800 have been injured.",Pakistan,2022-09-14 10:56:27+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rain-update-ndma-pakistan-pmd-gdacs-copernicus-emsr-echo-daily-flash-14-september-2022,
 1480 , Died , - , - ,"According to the National Disaster Management Authority (NDMA), more than 1,480 people died, and almost 12,800 have been injured.",Pakistan,2022-09-14 10:56:27+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rain-update-ndma-pakistan-pmd-gdacs-copernicus-emsr-echo-daily-flash-14-september-2022,
" 1,400                      ", Lives lost                             , NA  , NA     ,"This catastrophic event has now affected 33 million people, including nearly 1,400 lives lost.",Pakistan,2022-09-13 20:33:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/three-ways-usaid-responding-flooding-pakistan,
 33 million                 , Affected                               , NA  , NA     ,"This catastrophic event has now affected 33 million people, including nearly 1,400 lives lost.",Pakistan,2022-09-13 20:33:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/three-ways-usaid-responding-flooding-pakistan,
" 1,314                     ", Dead          ,      ,        ,"As of 4th September 2022, the National Disaster Management Authority (NDMA) reported that the floods have resulted in 1,314 deaths (including 458 children and 262 women) and some 12,703 people have been injured since 1 July 2022.",Pakistan,2022-09-13 16:20:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flood-2022-muslim-aid-humanitarian-response-balochistan-2022-0,
 458                       , Dead (Children)     ,      ,        ,"As of 4th September 2022, the National Disaster Management Authority (NDMA) reported that the floods have resulted in 1,314 deaths (including 458 children and 262 women) and some 12,703 people have been injured since 1 July 2022.",Pakistan,2022-09-13 16:20:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flood-2022-muslim-aid-humanitarian-response-balochistan-2022-0,
 262                       , Dead (Women)       ,      ,        ,"As of 4th September 2022, the National Disaster Management Authority (NDMA) reported that the floods have resulted in 1,314 deaths (including 458 children and 262 women) and some 12,703 people have been injured since 1 July 2022.",Pakistan,2022-09-13 16:20:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flood-2022-muslim-aid-humanitarian-response-balochistan-2022-0,
" 12,703                    ", Injured       ,      ,        ,"As of 4th September 2022, the National Disaster Management Authority (NDMA) reported that the floods have resulted in 1,314 deaths (including 458 children and 262 women) and some 12,703 people have been injured since 1 July 2022.",Pakistan,2022-09-13 16:20:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flood-2022-muslim-aid-humanitarian-response-balochistan-2022-0,
 1325 , Dead , - , - ,"According to the National Disaster Management Authority (NDMA) Situation Report issued on September 5th 2022, 1325 people died, and 12703 were injured in the country.",Pakistan,2022-09-13 08:05:29+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-report-khyber-pakhtunkhwa-districts-nowshera-charsadda-swat-tank-and-di-khan-september-07-2022,
 12703 , Injured , - , - ,"According to the National Disaster Management Authority (NDMA) Situation Report issued on September 5th 2022, 1325 people died, and 12703 were injured in the country.",Pakistan,2022-09-13 08:05:29+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-report-khyber-pakhtunkhwa-districts-nowshera-charsadda-swat-tank-and-di-khan-september-07-2022,
 1396 , Dead , - , - ,"At least 1,396 people have died, and 12,728 have been injured since 14 June 2022.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
 12728 , Injured , - , - ,"At least 1,396 people have died, and 12,728 have been injured since 14 June 2022.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
" 1,396 ", Died , N/A , N/A ,"• At least 1,396 people have died and 12,728 have been injured since 14 June, while reported livestock losses amount to nearly 750,230.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
" 12,728 ", Injured , N/A , N/A ,"• At least 1,396 people have died and 12,728 have been injured since 14 June, while reported livestock losses amount to nearly 750,230.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
" 750,230 ", N/A , N/A , N/A ,"• At least 1,396 people have died and 12,728 have been injured since 14 June, while reported livestock losses amount to nearly 750,230.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
 458                       , Dead (Children)       , <18 , N/A    ,"More than 1,300 people died, including at least 458 children, and more than 12,700 people were injured.",Pakistan,2022-09-10 11:53:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flooding-september-crisis-update,
" 12,700                    ", Injured               , N/A , N/A    ,"More than 1,300 people died, including at least 458 children, and more than 12,700 people were injured.",Pakistan,2022-09-10 11:53:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flooding-september-crisis-update,
" 1,300                     ", Dead                  , N/A , N/A    ,"More than 1,300 people died, including at least 458 children, and more than 12,700 people were injured.",Pakistan,2022-09-10 11:53:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flooding-september-crisis-update,
" 1,355 ", Dead , - , - ,"As of September 7, the floods had damaged or destroyed more than 1.7 million houses and resulted in the deaths of at least 1,355 people countrywide since June 14, according to the GoP National Disaster Management Authority (NDMA).",Pakistan,2022-09-08 13:52:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-fact-sheet-3-fiscal-year-fy-2022,
 1.7 million , - , - , - ,"As of September 7, the floods had damaged or destroyed more than 1.7 million houses and resulted in the deaths of at least 1,355 people countrywide since June 14, according to the GoP National Disaster Management Authority (NDMA).",Pakistan,2022-09-08 13:52:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-fact-sheet-3-fiscal-year-fy-2022,
 1355            , Dead        , -     , -      ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 273             , Dead        , -     , Female ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 3983            , Injured     , Child , -      ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 3400            , Injured     , -     , Female ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 5339            , Injured     , -     , Male   ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 12722           , Injured     , -     , -      ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 481             , Dead        , Child , -      ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 601             , Dead        , -     , Male   ,"As per the National Disaster Management Authority (NDMA) report dated 6th September 2022 current floods have resulted in 1355 deaths (including 481 children, 601 males, and 273 female) and 12722 people have been injured (including 5339 men, 3400 women, and 3983 Children) since 14 June to date.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
" 1,343           ", Dead                             , N/A , N/A    ,"At least 1,343 people have died, and 12,720 have been injured since 14 June 2022.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
" 12,720          ", Injured                          , N/A , N/A    ,"At least 1,343 people have died, and 12,720 have been injured since 14 June 2022.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
751145 , - , - , -,"• At least 1,343 people have died and 12,720 have been injured since 14 June, while reported livestock losses amount to 751,145.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
12720 , injured , - , -,"• At least 1,343 people have died and 12,720 have been injured since 14 June, while reported livestock losses amount to 751,145.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
1343 , dead , - , -,"• At least 1,343 people have died and 12,720 have been injured since 14 June, while reported livestock losses amount to 751,145.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
           400+            ,         Killed       ,Children,Unknown,"More than 400 children have been killed in the floods, and many more injured.",Pakistan,2022-09-07 19:44:51+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-dire-millions-children,
 1300 , Deaths , - , - ,"Currently over
33 million people have been affected and over 1300 deaths have been reported.",Pakistan,2022-09-07 11:57:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-response-updates-september-07-2022,
 33 million , Affected , - , - ,"Currently over
33 million people have been affected and over 1300 deaths have been reported.",Pakistan,2022-09-07 11:57:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-response-updates-september-07-2022,
" 4,900            ", Injured       , N/A , N/A    ,"According to the official figures (NDMA,  SIT-REP No.076) the massive floods have so far claimed 1,200 lives and injured 4,900 people.",Pakistan,2022-09-05 13:29:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/flood-disaster-pakistan-situation-report-6-05-september-2022,
" 1,200            ", Dead          , N/A , N/A    ,"According to the official figures (NDMA,  SIT-REP No.076) the massive floods have so far claimed 1,200 lives and injured 4,900 people.",Pakistan,2022-09-05 13:29:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/flood-disaster-pakistan-situation-report-6-05-september-2022,
      1160       ,      Dead     , N/A ,  N/A   ,"More than 1160 people have died so far, and over one million homes have been destroyed.",Pakistan,2022-09-05 10:07:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/germany-helping-pakistan-tackle-flooding,
     1000000     ,    Destroyed  , N/A ,  N/A   ,"More than 1160 people have died so far, and over one million homes have been destroyed.",Pakistan,2022-09-05 10:07:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/germany-helping-pakistan-tackle-flooding,
 1160 , Dead , N/A , N/A ,"So far, more than 1160 people have lost their lives, including many children.",Pakistan,2022-09-05 10:07:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/germany-helping-pakistan-tackle-flooding,
      1290       ,     Dead    , N/A ,  N/A   ,SITUATION OVERVIEW • Over 1290 lives lost and almost 12500 people injured.,Pakistan,2022-09-05 09:24:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/who-pakistan-floods-situation-report-issue-2-3-september-2022,
      12500      ,   Injured   , N/A ,  N/A   ,SITUATION OVERVIEW • Over 1290 lives lost and almost 12500 people injured.,Pakistan,2022-09-05 09:24:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/who-pakistan-floods-situation-report-issue-2-3-september-2022,
" 1,000,000 ", houses washed out , - , - ,"More than 1 million houses washed out and 800,000 livestock have died.",Pakistan,2022-09-04 06:51:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/qatar-charity-qffd-continue-delivering-relief-aid-flood-hit-people-pakistan,
 235 , Dead , Unknown , Unknown ,"Some 235 people lost their lives in the province whereas 326,897 houses are demolished and severely damaged.",Pakistan,2022-09-04 06:51:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/qatar-charity-qffd-continue-delivering-relief-aid-flood-hit-people-pakistan,
" 326,897 ", Houses demolished and severely damaged , Unknown , Unknown ,"Some 235 people lost their lives in the province whereas 326,897 houses are demolished and severely damaged.",Pakistan,2022-09-04 06:51:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/qatar-charity-qffd-continue-delivering-relief-aid-flood-hit-people-pakistan,
 4900                      , Injured                               , N/A , N/A    ,"Official figures suggest that 1,200 people have died and 4,900 injured, but the figures are likely to be higher due to the remote nature of many villages.",Pakistan,2022-09-03 10:58:25+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-01-02-september-2022,
 1200                      , Dead                                  , N/A , N/A    ,"Official figures suggest that 1,200 people have died and 4,900 injured, but the figures are likely to be higher due to the remote nature of many villages.",Pakistan,2022-09-03 10:58:25+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-01-02-september-2022,
 400 , dead , <18 , mixed ,Nearly 400 children are among the fatalities.,Pakistan,2022-09-02 17:44:52+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-64-million-dire-need-after-unprecedented-floods,
 816 , Injured , - , Children ,"Nearly 4,900 people have reportedly been injured, including at least 2,670 women, 1,281 men and 816 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
         526          ,     Died      ,  N/A  ,  Male  ,"The severe weather has continued to take a direct toll on human lives, with more than 1,200 people reported to have died, including 244 women, 526 men and 416 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
 1281 , Injured , - , Male ,"Nearly 4,900 people have reportedly been injured, including at least 2,670 women, 1,281 men and 816 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
         244          ,     Died      ,  N/A  , Female ,"The severe weather has continued to take a direct toll on human lives, with more than 1,200 people reported to have died, including 244 women, 526 men and 416 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
"        1,200         ",     Died      ,  N/A  ,  N/A   ,"The severe weather has continued to take a direct toll on human lives, with more than 1,200 people reported to have died, including 244 women, 526 men and 416 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
 2670 , Injured , - , Female ,"Nearly 4,900 people have reportedly been injured, including at least 2,670 women, 1,281 men and 816 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
 4900 , Injured , - , - ,"Nearly 4,900 people have reportedly been injured, including at least 2,670 women, 1,281 men and 816 children.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
