number of workers affected,type of workers,workers affected working sector,productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 -------------------------- , --------------- , ------ , --------------------- , ------------------------------ ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 0                          , N/A             , N/A   , N/A                   , N/A                            ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1545                       , N/A             , N/A   , N/A                   , N/A                            ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 12860                      , N/A             , N/A   , N/A                   , N/A                            ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1943978                    , N/A             , N/A   , N/A                   , N/A                            ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 778560                     , Household       , N/A   , Housing               , Fully damaged                   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 1144787                    , Household       , N/A   , Housing               , Partially damaged               ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 --- , --- , --- , --- , --- ,The livestock losses as reported are 943909.,Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 0 , - , Livestock , Livestock ," 943,909 ",The livestock losses as reported are 943909.,Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
----------------------------,----------------,--------,----------------------,--------------------------------,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 not mentioned              , not mentioned   , not mentioned , not mentioned , not mentioned             ,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 107                        , not mentioned   , road infrastructure  , bridge               , collapsed                      ,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 not mentioned              , not mentioned   , not mentioned , livestock             ," 21,328 reported perished       ","Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
"        1,575               ", not mentioned , road infrastructure  , not mentioned         , inundated                ,"Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
---,---,---,---,---,"Major sources of livelihood affected including agriculture (62%), Livestock (28%), Labour (47%), Pvt.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 500 ," Farmers, laborers, small traders "," Agriculture, livestock, labor, private sector "," Houses, shops, crop lands "," Over 400 houses, over 300 shops, over 10,000 acres crop lands","Major sources of livelihood affected including agriculture (62%), Livestock (28%), Labour (47%), Pvt.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
------------------,-----------------,--------,----------------------,-----------------------,"The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 0                , N/A             , N/A     , Houses               ," 800,000 fully damaged  ","The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 0                , N/A             , N/A     , Houses               ," 1,210,000 partially damaged ","The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 Millions         , N/A             , N/A     , Households           , Temporary relocation  ,"The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
-----------------------------,----------------,---------,--------------------------,------------------------------------,"Overall, 62 per cent of KIs perceived that children’s nutrition is a major issue in their community.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
            0                ,        N/A         ,   N/A    ,           N/A            ,                   N/A                    ,"Overall, 62 per cent of KIs perceived that children’s nutrition is a major issue in their community.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 --- , --- , --- , --- , --- ,"CONTEXT Heavy rainfall, floods and landslides have led to the largest housing loss in any disaster this century with over 2 million homes damaged or destroyed.",Pakistan,2022-10-04 09:26:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelter-sector-pakistan-2022-flood-response-factsheet-4th-october-2022,
 0 , N/A , N/A , Housing , 2 million homes damaged or destroyed ,"CONTEXT Heavy rainfall, floods and landslides have led to the largest housing loss in any disaster this century with over 2 million homes damaged or destroyed.",Pakistan,2022-10-04 09:26:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelter-sector-pakistan-2022-flood-response-factsheet-4th-october-2022,
 --- , --- , --- , --- , --- ,"Whilst HF teams have been visiting provinces, their assessment is that at least 70% of mud brick homes have been washed away, and even brick homes are showing extensive cracks.",Pakistan,2022-10-03 00:12:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-05-30-september-2022,
  N/A , N/A , N/A , Homes , At least 70% of mud brick homes washed away ,"Whilst HF teams have been visiting provinces, their assessment is that at least 70% of mud brick homes have been washed away, and even brick homes are showing extensive cracks.",Pakistan,2022-10-03 00:12:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-05-30-september-2022,
 N/A , N/A , N/A , Brick homes , Extensive cracks ,"Whilst HF teams have been visiting provinces, their assessment is that at least 70% of mud brick homes have been washed away, and even brick homes are showing extensive cracks.",Pakistan,2022-10-03 00:12:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-05-30-september-2022,
 --- , --- , --- , --- , --- ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
 0 , N/A , N/A , N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
" 1,695 ", N/A , N/A , N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
 0 , Children (630) , N/A , N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
" 12,865 ", N/A , N/A , N/A , N/A ,"1,695 people have died including 630 children and 12,865 injuries in these floods.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
---------------------------,----------------,--------,----------------------,---------------,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
"           2,000,000       ", N/A            , N/A    , Homes                , N/A           ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
           N/A             , N/A            , N/A    , Livestock            , N/A           ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
           N/A             , Children       , N/A    , N/A                  , N/A           ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
----------------------------,----------------,------------------------,-----------------------,--------------------------------,Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
 0                          , N/A            , Livestock               , Animals               , 1.1 million                    ,Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
 --- , --- , --- , --- , --- ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
" 800,000 ", Refugees (including Afghans) , Not specified , Not specified , Not specified ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
" 1,600 ", Not specified , Not specified , Not specified , Not specified ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
 Millions , Not specified , Not specified , Not specified , Homelessness ,"Some 800,000 refugees, including Afghans, have been affected by the floods, which have killed almost 1,600 people across Pakistan and left millions of others homeless.",Pakistan,2022-09-29 23:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/i-dont-have-life-anymore-misery-and-loss-afghans-pakistan-800000-refugees-hit-floods,Pakistan
-------------------------,----------------,--------,----------------------,--------------,"Loss and displacement have profoundly impacted the psychosocial well-being of children and their caregivers, with an estimated 50 per cent reporting signs of distress as per the preliminary findings of the inter-agency rapid needs assessment.",Pakistan,2022-09-28 17:04:47+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-4-floods-28-september-2022,
           0             ,       N/A      ,  N/A  ,        N/A         ,       N/A     ,"Loss and displacement have profoundly impacted the psychosocial well-being of children and their caregivers, with an estimated 50 per cent reporting signs of distress as per the preliminary findings of the inter-agency rapid needs assessment.",Pakistan,2022-09-28 17:04:47+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-4-floods-28-september-2022,
 --- , --- , --- , --- , --- ,"Since the start of the floods, the number of houses destroyed has doubled and the number of houses damaged has increased by an estimated 63 per cent With no designated places to take shelter, a considerable part of the population has been displaced and an estimated 575,000 people live in relief camps.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
 N/A , N/A , N/A , N/A , N/A ,"Since the start of the floods, the number of houses destroyed has doubled and the number of houses damaged has increased by an estimated 63 per cent With no designated places to take shelter, a considerable part of the population has been displaced and an estimated 575,000 people live in relief camps.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
" 575,000 ", N/A , N/A , N/A , N/A ,"Since the start of the floods, the number of houses destroyed has doubled and the number of houses damaged has increased by an estimated 63 per cent With no designated places to take shelter, a considerable part of the population has been displaced and an estimated 575,000 people live in relief camps.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
----------------------------,----------------,--------,----------------------,---------------,"With 3.5 million acres of crops devasted and over 936,000 livestock lost, people have also seen their livelihoods affected.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
"           936,000          ",   Livestock     ,Various ,        Livestock      ,   Destroyed   ,"With 3.5 million acres of crops devasted and over 936,000 livestock lost, people have also seen their livelihoods affected.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
"           3,500,000        ",     Crops      ,Various ,         Crops        ,   Devastated  ,"With 3.5 million acres of crops devasted and over 936,000 livestock lost, people have also seen their livelihoods affected.",Pakistan,2022-09-29 08:09:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-1-pakistan-floods-response-september-23-2022,
 --- , --- , --- , --- , --- ,"A total of 11,142,095 animals were lost during the floods all over the country.",Pakistan,2022-09-29 13:43:54+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-need-assessment-flood-emergency-balochistan-sind-kp-27th-sep-2022,
 0 , N/A , N/A , Animals ," 11,142,095 ","A total of 11,142,095 animals were lost during the floods all over the country.",Pakistan,2022-09-29 13:43:54+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-need-assessment-flood-emergency-balochistan-sind-kp-27th-sep-2022,
 --- , --- , --- , --- , --- ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
   0   ,     -     ,      -       ,      -       ,             -                ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
  1486 ,   Direct  ,      -       ,      -       ,             -                ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
 12749 ,   Direct  ,      -       ,      -       ,             -                ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
   0   ,   Indirect,      -       ,      -       ,             -                ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
   0   ,     -     , Residential ,      -       ,   1.76 million houses         ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
   0   ,     -     ,      -       ,  Productive ,         Not mentioned         ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
-------------------------,----------------,--------,----------------------,--------------------------------,"1,638 people have died including 588 children and 12,865 injuries in these floods.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
" 16,503                  ", Not specified  , Not specified , Not specified         , Not specified                   ,"1,638 people have died including 588 children and 12,865 injuries in these floods.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 588                     , Children       , Not specified , Not specified         , Not specified                   ,"1,638 people have died including 588 children and 12,865 injuries in these floods.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
----------------------------,----------------,---------------------,-----------------------,--------------------------------,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 0                          , N/A            , N/A                 , N/A                   , N/A                            ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
" 2,000,000                  ", Residential   , N/A                 , Housing               ," 2,000,000 homes                ","Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 N/A                        , N/A            , N/A                 , Source of food        , N/A                            ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 N/A                        , N/A            , N/A                 , Source of water       , N/A                            ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 N/A                        , Livestock      , Agriculture         , Livestock             , Unspecified                    ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 N/A                        , Children       , N/A                 , N/A                   , N/A                            ,"Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 ------------------------- , -------------- , ------ , -------------------- , ------------------------------ ,Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 0                         , Livestock      , Agriculture , Livestock ," 1,100,000 ",Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 ------------ , ------------ , ------------ , ------------ , ------------ ,The floods have decimated water supplies – 80% of families reported not having enough clean water - and many people have no choice but to drink from unsafe or contaminated water sources.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 0 , Not applicable , Not applicable , Not applicable , Not applicable ,The floods have decimated water supplies – 80% of families reported not having enough clean water - and many people have no choice but to drink from unsafe or contaminated water sources.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 80% of families , Not applicable , Not applicable , Water supplies , Not enough clean water ,The floods have decimated water supplies – 80% of families reported not having enough clean water - and many people have no choice but to drink from unsafe or contaminated water sources.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 --- , --- , --- , --- , --- ,"Now my parents, siblings and my son are all living together in this tent [provided by Save the Children].” More than two million homes have been destroyed since the floods first hit in June, displacing 7.6 million people.",Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 7.6 million , Not specified , Not specified , Homes , 2 million ,"Now my parents, siblings and my son are all living together in this tent [provided by Save the Children].” More than two million homes have been destroyed since the floods first hit in June, displacing 7.6 million people.",Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 ----------- , ----------- , ----------- , ----------- , ----------- ,Incidents of child marriage were also reported – 4.6% of families said they had married off one of their children since the flood crisis began.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 0 , N/A , N/A , N/A , N/A ,Incidents of child marriage were also reported – 4.6% of families said they had married off one of their children since the flood crisis began.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 4.6% of families , Child Laborers/Children , N/A , N/A , N/A ,Incidents of child marriage were also reported – 4.6% of families said they had married off one of their children since the flood crisis began.,Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 ---------------- , --------------- , ---------------- , --------------------- , ------------------------------ ,"At least 1,638 people have died, and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
" 12,865           ", Not mentioned    , Not mentioned     , Not mentioned          , Not mentioned                 ,"At least 1,638 people have died, and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
" 1,638            ", Not mentioned    , Not mentioned     , Not mentioned          , Not mentioned                 ,"At least 1,638 people have died, and 12,865 have been injured since 14 June 2022.",Pakistan,2022-09-27 10:50:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-26-september-2022,
