number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
37000000,refugees,not specified,not specified,refugees, Text                  ,Over 3.7 million refugees from Ukraine have registered for temporary protection or similar national protection schemes.,Ukraine Situation Flash Update #24 (5 August 2022),['Ukraine'],2022-08-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-24-5-august-2022
66000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), [source unknown] ,"Six months into the full-scale war, it is now estimated that 6.6 million Ukrainians have fled the country, and an additional 6.6 million are internally displaced within the country.",Ukraine Crisis 2022: 6 Months of Response,['Ukraine'],2022-08-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-2022-6-months-response
6600000,displaced people,not specified,not specified,displaced people,     News article    ,"Within Ukraine, over 6.6 million people remain displaced by the war.",Ukraine Situation Flash Update #26 (19 August 2022),['Ukraine'],2022-08-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-26-19-august-2022
66000000,refugees,not specified,europe,refugees to europe, UNHCR ,"As of today, UNHCR estimates there are over 6.6 million refugees present across Europe.",Ukraine Situation Flash Update #26 (19 August 2022),['Ukraine'],2022-08-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-26-19-august-2022
6645000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Estimation         ,"Following an earlier slight decrease in the total number of internally displaced persons (IDPs) in Ukraine, IOM estimates the number has once again grown to 6,645,000 IDPs in the country, largely fuelled by new displacements in the East, South, and North of Ukraine.","Ukraine: UNHCR Operational Monthly Update, July 2022",['Ukraine'],2022-08-12,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-unhcr-operational-monthly-update-july-2022
38000000,refugees,not specified,europe,refugees to europe, Self-reported ,"Across Europe as at 03 August, only 3.8 million refugees who left Ukraine have registered for temporary protection or similar schemes.","Ukraine Crisis Response - Situation report #11, 1 June - 31 July 2022",['Ukraine'],2022-08-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-11-1-june-31-july-2022
627000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM’s Ukraine Internal Displacement Report ,"According to round six of IOM’s Ukraine Internal Displacement Report, as of 23 June, 14 per cent of the general population, or 6.27 million people, have been displaced within Ukraine.","IOM Regional Ukraine Response - Situation Report #23, 8 July 2022",['Ukraine'],2022-07-13,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-23-8-july-2022
900000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),Report from UNHCR,"While this represents a decrease of nearly 900,000 IDPs since 23 May and a second consecutive reduction since the start of the war, continued displacement raises the need for both humanitarian aid and the development of long-term solutions.","IOM Regional Ukraine Response - Situation Report #23, 8 July 2022",['Ukraine'],2022-07-13,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-23-8-july-2022
62000000,refugees,not specified,europe,refugees to europe, UNHCR – July 2022 ,"SITUATION AT A GLANCE 5,237 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 6.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in Ukraine UN – April 2022 MILLION People Reached With Humanitarian Assistance in UkraineUN – July 2022 USAID announces approximately $243 million in additional humanitarian assistance for Ukraine, bringing total USAID/BHA assistance for Ukraine to over $1 billion.","Ukraine - Complex Emergency Fact Sheet #24, Fiscal Year (FY) 2022",['Ukraine'],2022-07-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-24-fiscal-year-fy-2022
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – June 2022 ,"SITUATION AT A GLANCE 5,237 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 6.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in Ukraine UN – April 2022 MILLION People Reached With Humanitarian Assistance in UkraineUN – July 2022 USAID announces approximately $243 million in additional humanitarian assistance for Ukraine, bringing total USAID/BHA assistance for Ukraine to over $1 billion.","Ukraine - Complex Emergency Fact Sheet #24, Fiscal Year (FY) 2022",['Ukraine'],2022-07-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-24-fiscal-year-fy-2022
87000000,total population,not specified,not specified,total population, UN – April 2022 ,"SITUATION AT A GLANCE 5,237 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 6.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in Ukraine UN – April 2022 MILLION People Reached With Humanitarian Assistance in UkraineUN – July 2022 USAID announces approximately $243 million in additional humanitarian assistance for Ukraine, bringing total USAID/BHA assistance for Ukraine to over $1 billion.","Ukraine - Complex Emergency Fact Sheet #24, Fiscal Year (FY) 2022",['Ukraine'],2022-07-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-24-fiscal-year-fy-2022
243000000,total population,not specified,not specified,total population, USAID announcement ,"SITUATION AT A GLANCE 5,237 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 6.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in Ukraine UN – April 2022 MILLION People Reached With Humanitarian Assistance in UkraineUN – July 2022 USAID announces approximately $243 million in additional humanitarian assistance for Ukraine, bringing total USAID/BHA assistance for Ukraine to over $1 billion.","Ukraine - Complex Emergency Fact Sheet #24, Fiscal Year (FY) 2022",['Ukraine'],2022-07-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-24-fiscal-year-fy-2022
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), UNICEF and humanitarian partners ,"With nearly 6.3 million internally displaced people and close to 5.5 million returnees (with 74 per cent indicating they intend to stay) in Ukraine, UNICEF and humanitarian partners are analyzing the latest data to inform the scale-up of response priorities and planning, looking at the geographic dispersion of population movement and coverage versus gaps therein, and are additionally using this information to inform winter preparedness.","UNICEF Ukraine Humanitarian Situation Report No. 17, for 29 June - 12 July 2022",['Ukraine'],2022-07-16,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-17-29-june-12-july-2022
57000000,refugees,not specified,europe,refugees to europe, UNHCR – July 2022 ,"SITUATION AT A GLANCE 4,899 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 5.7 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 10 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 U.S. Secretary of State Blinken announces nearly $368 million in additional humanitarian assistance for Ukraine on July 9.","Ukraine - Complex Emergency Fact Sheet #23, Fiscal Year (FY) 2022",['Ukraine'],2022-07-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-23-fiscal-year-fy-2022
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – June 2022 ,"SITUATION AT A GLANCE 4,899 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 5.7 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 10 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 U.S. Secretary of State Blinken announces nearly $368 million in additional humanitarian assistance for Ukraine on July 9.","Ukraine - Complex Emergency Fact Sheet #23, Fiscal Year (FY) 2022",['Ukraine'],2022-07-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-23-fiscal-year-fy-2022
10000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – June 2022 ,"SITUATION AT A GLANCE 4,899 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 5.7 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 10 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 U.S. Secretary of State Blinken announces nearly $368 million in additional humanitarian assistance for Ukraine on July 9.","Ukraine - Complex Emergency Fact Sheet #23, Fiscal Year (FY) 2022",['Ukraine'],2022-07-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-23-fiscal-year-fy-2022
368000000,total population,not specified,not specified,total population, Announcement by U.S. Secretary of State Blinken on July 9 ,"SITUATION AT A GLANCE 4,899 Civilian Deaths Resulting From the ConflictOHCHR – July 2022 5.7 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – July 2022 6.3 MILLION People Internally Displaced Across UkraineIOM – June 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 10 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 U.S. Secretary of State Blinken announces nearly $368 million in additional humanitarian assistance for Ukraine on July 9.","Ukraine - Complex Emergency Fact Sheet #23, Fiscal Year (FY) 2022",['Ukraine'],2022-07-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-23-fiscal-year-fy-2022
5816729,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A                   ,"KEY FIGURES 5,816,729
individual refugees from Ukraine recorded across Europe 3,654,271
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,152,696
border crossings from Ukraine 3,546,305
border crossings to Ukraine BACKGROUND Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
3654271,refugees,not specified,europe,refugees to europe, Recorded across Europe  ,"KEY FIGURES 5,816,729
individual refugees from Ukraine recorded across Europe 3,654,271
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,152,696
border crossings from Ukraine 3,546,305
border crossings to Ukraine BACKGROUND Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
9152696,refugees,not specified,europe,refugees to europe, Registered for Temporary Protection or similar national protection schemes in Europe ,"KEY FIGURES 5,816,729
individual refugees from Ukraine recorded across Europe 3,654,271
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,152,696
border crossings from Ukraine 3,546,305
border crossings to Ukraine BACKGROUND Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
3546305,total population,not specified,not specified,total population, Border crossings from Ukraine ,"KEY FIGURES 5,816,729
individual refugees from Ukraine recorded across Europe 3,654,271
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,152,696
border crossings from Ukraine 3,546,305
border crossings to Ukraine BACKGROUND Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
6300000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), UNHCR                  ,"Within Ukraine, over 6.3 million people remain displaced by the international armed conflict.. As of today, UNHCR estimates there are over 5.8 million refugees present across Europe, and over 3.6 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
5800000,refugees,not specified,europe,refugees to europe, UNHCR                  ,"Within Ukraine, over 6.3 million people remain displaced by the international armed conflict.. As of today, UNHCR estimates there are over 5.8 million refugees present across Europe, and over 3.6 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe.",Ukraine Situation Flash Update #21 (15 July 2022),['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-21-15-july-2022
5988696,refugees,not specified,europe,refugees to europe, - ,"KEY FIGURES 5,988,696 individual refugees from Ukraine recorded across Europe 3,709,329 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,567,033 border crossings from Ukraine 3,793,403 border crossings to Ukraine Background Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #22 (22 July 2022),['Ukraine'],2022-07-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-22-22-july-2022
9567033,total population,not specified,not specified,total population, https://www.kyivpost.com/ukraine-politics/ukraine-conflict-by-the-numbers.html ,"KEY FIGURES 5,988,696 individual refugees from Ukraine recorded across Europe 3,709,329 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,567,033 border crossings from Ukraine 3,793,403 border crossings to Ukraine Background Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #22 (22 July 2022),['Ukraine'],2022-07-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-22-22-july-2022
3793403,total population,not specified,not specified,total population, https://www.kyivpost.com/ukraine-politics/ukraine-conflict-by-the-numbers.html ,"KEY FIGURES 5,988,696 individual refugees from Ukraine recorded across Europe 3,709,329 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 9,567,033 border crossings from Ukraine 3,793,403 border crossings to Ukraine Background Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #22 (22 July 2022),['Ukraine'],2022-07-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-22-22-july-2022
95000000,"idps, refugees, migrants",not specified,not specified,"idps, refugees, migrants", [Source](https://migration.iom.int/europe/) ,"More than 9.5 million movements out of Ukraine have been recorded since 24 February, with almost 3.8 million movements back into the country.",Ukraine Situation Flash Update #22 (22 July 2022),['Ukraine'],2022-07-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-22-22-july-2022
38000000,"idps, refugees, migrants",not specified,not specified,"idps, refugees, migrants", [Source](https://migration.iom.int/europe/) ,"More than 9.5 million movements out of Ukraine have been recorded since 24 February, with almost 3.8 million movements back into the country.",Ukraine Situation Flash Update #22 (22 July 2022),['Ukraine'],2022-07-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-22-22-july-2022
6000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Highlights As the War in Ukraine Persists ,"Highlights As the war in Ukraine persists, fighting continues in the east, with more than 6 million people internally displaced.","UNICEF Ukraine Humanitarian Situation Report No. 16, for 15-28 Jun 2022",['Ukraine'],2022-07-04,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-16-15-28-jun-2022
5000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), International Organization for Migration ,"Inside Ukraine, over 5 million people went back home, while about 6.3 million are still internally displaced, according to the International Organization for Migration.","Ukraine: Situation Report, 13 Jul 2022 [EN/RU/UK]",['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-13-jul-2022-enruuk
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), International Organization for Migration ,"Inside Ukraine, over 5 million people went back home, while about 6.3 million are still internally displaced, according to the International Organization for Migration.","Ukraine: Situation Report, 13 Jul 2022 [EN/RU/UK]",['Ukraine'],2022-07-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-13-jul-2022-enruuk
3500000,refugees,not specified,europe,refugees to europe,     Text              ,"Across Europe as of 29 June, only 3.5 million refugees who left Ukraine have registered for temporary protection or similar schemes.","Ukraine Crisis Response - Situation report #10, 1 June - 30 June 2022",['Ukraine'],2022-07-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-10-1-june-30-june-2022
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), International Organization for Migration ,"In Ukraine, more than 5.5 million mostly internally displaced people have returned to their homes, while the overall number of those internally displaced remains high at 6.3 million, says the International Organization for Migration.","Ukraine Crisis Response - Situation report #10, 1 June - 30 June 2022",['Ukraine'],2022-07-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-10-1-june-30-june-2022
63000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A (Inferred from the given text) ,"Within Ukraine, over 6.3 million people remain displaced by the war.",Ukraine Situation Flash Update #23 (29 July 2022),['Ukraine'],2022-07-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-23-29-july-2022
713000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A ,"A further 7.13 million are estimated to be internally displaced within Ukraine, more than half of whom originally resided in the eastern regions of the country.","Ukraine and impacted countries - Emergency appeal n° MGR65002, Operation Update Report n° 3",['Ukraine'],2022-07-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-and-impacted-countries-emergency-appeal-ndeg-mgr65002-operation-update-report-ndeg-3
5640475,total population,not specified,not specified,total population, -                     ,"KEY FIGURES 5,640,475
Individual refugees from Ukraine recorded across Europe 3,610,805
Refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 8,792,763
Border crossings from Ukraine 3,296,112
Border crossings to Ukraine BACKGROUND Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #20 (8 July 2022),['Ukraine'],2022-07-08,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-20-8-july-2022
88000000,refugees,not specified,not specified,refugees, N/A ,"Some 8.8 million refugee movements out of Ukraine have been recorded since 24 February, with more than 3.3 million movements back into the country.",Ukraine Situation Flash Update #20 (8 July 2022),['Ukraine'],2022-07-08,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-20-8-july-2022
51000000,refugees,not specified,europe,refugees to europe, UNHCR – June 2022 ,"SITUATION AT A GLANCE 4,481 Civilian Deaths Resulting From the Conflict 　　
OHCHR – June 2022 5.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 8.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • President Biden announces more than $225 million in additional humanitarian assistance for Ukraine on June 15.","Ukraine - Complex Emergency Fact Sheet #20, Fiscal Year (FY) 2022",['Ukraine'],2022-06-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-20-fiscal-year-fy-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM - May 2022 ,"SITUATION AT A GLANCE 4,481 Civilian Deaths Resulting From the Conflict 　　
OHCHR – June 2022 5.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 8.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • President Biden announces more than $225 million in additional humanitarian assistance for Ukraine on June 15.","Ukraine - Complex Emergency Fact Sheet #20, Fiscal Year (FY) 2022",['Ukraine'],2022-06-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-20-fiscal-year-fy-2022
225000000,total population,not specified,not specified,total population, President Biden's announcement on June 15 ,"SITUATION AT A GLANCE 4,481 Civilian Deaths Resulting From the Conflict 　　
OHCHR – June 2022 5.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 8.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • President Biden announces more than $225 million in additional humanitarian assistance for Ukraine on June 15.","Ukraine - Complex Emergency Fact Sheet #20, Fiscal Year (FY) 2022",['Ukraine'],2022-06-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-20-fiscal-year-fy-2022
5256378,refugees,not specified,europe,refugees to europe, Not specified ,"KEY FIGURES 5,256,378 Individual refugees from Ukraine recorded across Europe 3,510,070 Refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 8,007,014 Border crossings from Ukraine 2,836,563 Border crossings to Ukraine BACKGROUND • Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
3510070,refugees,not specified,europe,refugees to europe, Temporary Protection or similar national protection schemes ,"KEY FIGURES 5,256,378 Individual refugees from Ukraine recorded across Europe 3,510,070 Refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 8,007,014 Border crossings from Ukraine 2,836,563 Border crossings to Ukraine BACKGROUND • Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
8007014,total population,not specified,not specified,total population, Not specified ,"KEY FIGURES 5,256,378 Individual refugees from Ukraine recorded across Europe 3,510,070 Refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 8,007,014 Border crossings from Ukraine 2,836,563 Border crossings to Ukraine BACKGROUND • Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
52000000,refugees,not specified,europe,refugees to europe, UNHCR ,"As of today, UNHCR estimates there are over 5.2 million refugees present across Europe, and over 3.5 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
35000000,refugees,not specified,europe,refugees to europe, UNHCR ,"As of today, UNHCR estimates there are over 5.2 million refugees present across Europe, and over 3.5 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
8000000,refugees,not specified,other countries,refugees to other countries, Unknown ,"More than 8 million refugee movements out of Ukraine have been recorded since 24 February, while more than 2.8 million movements back into the country have been recorded since 28 February.",Ukraine Situation Flash Update #18 (24 June 2022),['Ukraine'],2022-06-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-18-24-june-2022
6200000,displaced people,not specified,not specified,displaced people, Article                ,"Within Ukraine, over 6.2 million people remain displaced by the war.",Ukraine Situation Flash Update #19 (1 July 2022),['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-19-1-july-2022
3500000,refugees,not specified,europe,refugees to europe,         UNHCR         ,"As of today, UNHCR estimates there are over 5.4 million refugees present across Europe, and over 3.5 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe.",Ukraine Situation Flash Update #19 (1 July 2022),['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-19-1-july-2022
8400000,refugees,not specified,other countries,refugees to other countries, Unspecified           ,"More than 8.4 million refugee movements out of Ukraine have been recorded since 24 February, while more than 3 million movements back into the country have been recorded since 28 February.",Ukraine Situation Flash Update #19 (1 July 2022),['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-19-1-july-2022
48000000,refugees,not specified,europe,refugees to europe, UNHCR – June 2022 ,"SITUATION AT A GLANCE 4,339 Civilian Deaths Resulting From the ConflictOHCHR – June 2022 4.8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 7.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • GoRF attacks continue to threaten civilians and destroy critical infrastructure in eastern Ukraine.","Ukraine - Complex Emergency Fact Sheet #19, Fiscal Year (FY) 2022",['Ukraine'],2022-06-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-19-fiscal-year-fy-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – May 2022 ,"SITUATION AT A GLANCE 4,339 Civilian Deaths Resulting From the ConflictOHCHR – June 2022 4.8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 7.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • GoRF attacks continue to threaten civilians and destroy critical infrastructure in eastern Ukraine.","Ukraine - Complex Emergency Fact Sheet #19, Fiscal Year (FY) 2022",['Ukraine'],2022-06-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-19-fiscal-year-fy-2022
78000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – June 2022 ,"SITUATION AT A GLANCE 4,339 Civilian Deaths Resulting From the ConflictOHCHR – June 2022 4.8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 7.8 MILLION People Reached With Humanitarian Assistance in UkraineUN – June 2022 • GoRF attacks continue to threaten civilians and destroy critical infrastructure in eastern Ukraine.","Ukraine - Complex Emergency Fact Sheet #19, Fiscal Year (FY) 2022",['Ukraine'],2022-06-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-19-fiscal-year-fy-2022
736000000,refugees,not specified,other countries,refugees to other countries, Office of the UN High Commissioner for Refugees (UNHCR) ,"General information According to the Office of the UN High Commissioner for Refugees (UNHCR) as of June 09, 2022 the number of refugees fled Ukraine for other countries is more than 7,36 million.","Overview of the current state of education and science in Ukraine in terms of Russian aggression (as of June 06 - 11, 2022) [EN/UK]",['Ukraine'],2022-06-15,['Situation Report'],https://reliefweb.int/report/ukraine/overview-current-state-education-and-science-ukraine-terms-russian-aggression-june-06-11-2022-enuk
