number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 1,500,000+                 ", N/A            , N/A            ,"In Türkiye, as of 4 March, according to official numbers more than three million people have been forced to leave their homes, of which more than 1.5 million are now living in tent towns.",Syria,2023-03-09 21:30:06+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/surviving-among-rubble-syria-and-turkiye-one-month,Türkiye
" 180,000 ", Not specified , Not specified ,"The 180,000 people that have been displaced by the earthquakes add to the 2.8 million people already living in difficult and precarious circumstances after being displaced repeatedly during 12 years of war.",Syria,2023-03-09 21:30:06+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/surviving-among-rubble-syria-and-turkiye-one-month,
" 24,000,000                ", -              , -      ,"An estimated 24 million people
are believed to be affected, more than five million were left homeless and those injured are more than 117,000
people.",Syria,2023-03-09 18:57:45+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/turkiye-and-syria-earthquake-response-situation-report-march-7th-2023,
"       1,593,808            ",       -         ,  -     ,"• On 2 March, Türkiye’s Disaster and Emergency Management Presidency (AFAD) reported that the total number of people who were given shelter in the region affected by the earthquake is 1,593,808.",Türkiye,2023-03-09 17:36:06+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-8-9-march-2023,
"           55,000          ",       N/A      ,  N/A   ,"The earthquakes have affected
at least 96 communities and 35 sub-districts in NWS; more than 10,600 buildings have been partially or completely
destroyed,2 leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,
        35 sub-districts   ,       N/A      ,  NWS   ,"The earthquakes have affected
at least 96 communities and 35 sub-districts in NWS; more than 10,600 buildings have been partially or completely
destroyed,2 leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,
  More than 96 communities ,       N/A      ,  NWS   ,"The earthquakes have affected
at least 96 communities and 35 sub-districts in NWS; more than 10,600 buildings have been partially or completely
destroyed,2 leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,
 8.8 million      , Not specified  , Not specified ,"Overview of Developments In Syria, an estimated 8.8 million individuals have been affected by the earthquakes.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,Syria
"           10,600          ",     Building   ,  N/A   ,"The earthquakes have affected
at least 96 communities and 35 sub-districts in NWS; more than 10,600 buildings have been partially or completely
destroyed,2 leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,
" 2,700,000        ", N/A             , SNFI   ,"The Shelter and Non-Food Item (SNFI) Sector, led by
UNHCR, estimates that the homes of approximately 2.7 million people inside Syria have sustained various levels of
damage because of the earthquakes.",Syria,2023-03-09 16:45:31+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-4-9-march-2023,Syria
" 2,355            ", Refugees       , N/A    ,"2.355 refugees (58% women), including 41 people with disabilities, were displaced by the earthquake, while 423 people are living in emergency shelters (including 17 people with disabilities).",Syria,2023-03-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-19-9-march-2023,
 41               , Refugees with Disabilities , N/A ,"2.355 refugees (58% women), including 41 people with disabilities, were displaced by the earthquake, while 423 people are living in emergency shelters (including 17 people with disabilities).",Syria,2023-03-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-19-9-march-2023,
 423              , N/A            , N/A    ,"2.355 refugees (58% women), including 41 people with disabilities, were displaced by the earthquake, while 423 people are living in emergency shelters (including 17 people with disabilities).",Syria,2023-03-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-19-9-march-2023,
 17               , People with Disabilities , N/A ,"2.355 refugees (58% women), including 41 people with disabilities, were displaced by the earthquake, while 423 people are living in emergency shelters (including 17 people with disabilities).",Syria,2023-03-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-19-9-march-2023,
             1              ,     Women      ,  N/A   ,"Through 12 years of unending conflict in Syria, women like Amina have shouldered the onerous burden of supporting their families through trauma few can imagine.",Syria,2023-03-08 11:28:59+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/my-burden-bear-womens-voices-post-earthquake-syria,Syria
             12             ,     Years      ,  N/A   ,"Through 12 years of unending conflict in Syria, women like Amina have shouldered the onerous burden of supporting their families through trauma few can imagine.",Syria,2023-03-08 11:28:59+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/my-burden-bear-womens-voices-post-earthquake-syria,Syria
       1          ,     Woman      , Family ,"Through 12 years of unending conflict in Syria, women like Amina have shouldered the burden of supporting their families through trauma that few can imagine.",Syria,2023-03-08 10:56:45+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/womens-voices-post-earthquake-syria,Syria
" 1,593,808 ", Citizens , Shelter ,"The total number of our citizens who were given shelter in the region affected by the earthquake is 1,593,808.",Türkiye,2023-03-08 01:51:59+00:00,News and Press Release,https://reliefweb.int/report/turkiye/afad-press-bulletin-about-works-carried-out-after-earthquake-centered-kahramanmaras-37-entr,
" 1,025,204 ", Citizens , N/A ,"The 10,000 Turkish Liras per household support payment for citizens affected by the earthquake was transferred to the accounts of 1, 025, 204 earthquake survivor families.",Türkiye,2023-03-08 01:51:59+00:00,News and Press Release,https://reliefweb.int/report/turkiye/afad-press-bulletin-about-works-carried-out-after-earthquake-centered-kahramanmaras-37-entr,
 1 , N/A , N/A ,"The 10,000 Turkish Liras per household support payment for citizens affected by the earthquake was transferred to the accounts of 1, 025, 204 earthquake survivor families.",Türkiye,2023-03-08 01:51:59+00:00,News and Press Release,https://reliefweb.int/report/turkiye/afad-press-bulletin-about-works-carried-out-after-earthquake-centered-kahramanmaras-37-entr,
"    8,800,000     ",                ,        ,"With 8.8 million people affected in Syria according to the UN, subsidy has fallen far short of the rising needs on the ground.",Syria,2023-03-07 15:54:33+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/earthquake-one-month-funding-falls-short-huge-needs-syria,Syria
 8.8 million , - , - ,"Overview of Developments In Syria, an estimated 8.8 million individuals have been affected by the earthquakes.",Syria,2023-03-06 19:19:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-3-6-march-2023,Syria
 2.7 million , People , N/A ,"The Shelter and Non-Food Item (SNFI) Sector, led by
UNHCR, estimates that the homes of approximately 2.7 million people inside Syria have sustained various levels of
damage because of the earthquakes.",Syria,2023-03-06 19:19:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-3-6-march-2023,Syria
 96     , Not Applicable  , Not Applicable ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings
have been partially or completely destroyed, leaving and estimated 55,000 households as displaced, either within or
between assessed communities",Syria,2023-03-06 19:19:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-3-6-march-2023,
 35     , Not Applicable  , Not Applicable ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings
have been partially or completely destroyed, leaving and estimated 55,000 households as displaced, either within or
between assessed communities",Syria,2023-03-06 19:19:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-3-6-march-2023,
" 55,000 ", Not Applicable , Not Applicable ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings
have been partially or completely destroyed, leaving and estimated 55,000 households as displaced, either within or
between assessed communities",Syria,2023-03-06 19:19:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-3-6-march-2023,
" 214,000 ", Construction workers (potentially) , Construction ,"• Türkiye's President says over 214,000 buildings had collapsed or were heavily damaged by last month's devastating earthquakes.",Türkiye,2023-03-06 17:32:26+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-7-6-march-2023,
 24                     , Residents      , Housing,"There was dust and debris everywhere and it was hard to breathe.” The earthquake brought down her neigbhour’s four-storey building, killing 24 of its residents, while some were rescued.",Syria,2023-03-06 16:20:59+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/nuzhas-story-life-shattered-earthquake-enar,
"           3,000,000        ", All types       , All    ,"The earthquakes caused significant destruction in 11 provinces in Türkiye, and around 3 million people lost their homes and jobs.",Türkiye,2023-03-06 15:58:38+00:00,Situation Report,https://reliefweb.int/report/turkiye/kahramanmaras-earthquake-turkiye-situation-report-kizilaykart-coordinatorship-report-date-06032023,Türkiye
" 50,000+ ", Not mentioned , Not mentioned ,"The combined death toll from the earthquakes and aftershocks has reached more than 50,000 people with thousands of others injured and massive destruction to buildings and other essential infrastructure.",Türkiye,2023-03-06 12:10:07+00:00,News and Press Release,https://reliefweb.int/report/turkiye/one-month-more-850000-children-remain-displaced-deadly-earthquakes-southern-turkiye-and-syria-enar,
 1 , Children , N/A ,"Across Syria, more than 3.7 million children have been affected by the quakes.",Türkiye,2023-03-06 12:10:07+00:00,News and Press Release,https://reliefweb.int/report/turkiye/one-month-more-850000-children-remain-displaced-deadly-earthquakes-southern-turkiye-and-syria-enar,Syria
" 3,700,000 ", N/A , N/A ,"Across Syria, more than 3.7 million children have been affected by the quakes.",Türkiye,2023-03-06 12:10:07+00:00,News and Press Release,https://reliefweb.int/report/turkiye/one-month-more-850000-children-remain-displaced-deadly-earthquakes-southern-turkiye-and-syria-enar,Syria
 6.2 million , Children , Not specified ,"The earthquakes that struck the region on 6 February and 20 February impacted 24.4 million people, including 6.2 million children, and caused further displacement, with a series of aftershocks further exacerbating the needs of affected communities.",Syria,2023-03-06 01:43:00+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/she-thinks-were-still-under-rubble-one-month-after-earthquakes-children-turkiye-and-syria-are-survival-mode,
 24.4 million , Not specified , Not specified ,"The earthquakes that struck the region on 6 February and 20 February impacted 24.4 million people, including 6.2 million children, and caused further displacement, with a series of aftershocks further exacerbating the needs of affected communities.",Syria,2023-03-06 01:43:00+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/she-thinks-were-still-under-rubble-one-month-after-earthquakes-children-turkiye-and-syria-are-survival-mode,
" 45,000 ", Not specified , Not specified ,"One month on from the earthquakes that struck Türkiye killing over 45,000 people and destroying hundreds of thousands of buildings and major infrastructure, aid and donations for survivors has sharply declined in spite of continuing urgent needs.",Türkiye,2023-03-06 01:17:53+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-aid-dwindling-spite-dire-conditions,Türkiye
 1         , Woman        , Healthcare             ,Oxfam spoke with one woman who delivered a baby in a tent and had not received any medical support 10 days after giving birth.,Türkiye,2023-03-06 01:17:53+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-aid-dwindling-spite-dire-conditions,
"          115,000          ", Not specified   , Not specified  ,"115,000 people were injured.",Türkiye,2023-03-04 17:20:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03032023,
 2.2 million , N/A , N/A ,"In Turkey, the earthquakes left widespread property damage, a death toll of over 44,000,1 and caused the displacement of 2.2 million people.2 Two further quakes of lesser magnitude affected the country on 20 and 27 February.",Türkiye,2023-03-04 00:06:57+00:00,Analysis,https://reliefweb.int/report/turkiye/regional-overview-middle-east-february-2023,Türkiye
" 44,000 ", N/A , N/A ,"In Turkey, the earthquakes left widespread property damage, a death toll of over 44,000,1 and caused the displacement of 2.2 million people.2 Two further quakes of lesser magnitude affected the country on 20 and 27 February.",Türkiye,2023-03-04 00:06:57+00:00,Analysis,https://reliefweb.int/report/turkiye/regional-overview-middle-east-february-2023,Türkiye
 21 Teachers / 123 Students , Education , School ,"● Education: At least 1,941 schools were damaged, 40 of which were out of service with 21 teachers and 123 students killed by the earthquake.",Syria,2023-03-03 16:11:32+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-march-2023-government-controlled-areas-bi-weekly-highlights-03032023,
 Total: 144 , N/A , N/A ,"● Education: At least 1,941 schools were damaged, 40 of which were out of service with 21 teachers and 123 students killed by the earthquake.",Syria,2023-03-03 16:11:32+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-march-2023-government-controlled-areas-bi-weekly-highlights-03032023,
" 1,941 ", N/A , Education ,"● Education: At least 1,941 schools were damaged, 40 of which were out of service with 21 teachers and 123 students killed by the earthquake.",Syria,2023-03-03 16:11:32+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-march-2023-government-controlled-areas-bi-weekly-highlights-03032023,
" 535,000          ", Children        , Education ,"More than 535,000 children can’t resume their education until those schools are safe and ready.",Syria,2023-03-03 16:11:32+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-march-2023-government-controlled-areas-bi-weekly-highlights-03032023,
"          42,000           ",     Syrians    ,     Not given     ,"According to the Minister of National Defence on 28 February, close to 42,000 Syrians have, for the most part, temporarily exited to Syria after the earthquake, mainly to check on family and to attend burials and funerals.",Türkiye,2023-03-03 07:46:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-02-march-2023,Syria
"130,000                     ",Not Applicable  ,Not Applicable ,"From damage reports, it is estimated that over 130,000 buildings in the 11 affected areas have fully collapsed or been severely damaged.",Türkiye,2023-03-02 21:49:18+00:00,Assessment,https://reliefweb.int/report/turkiye/turkiye-earthquakes-response-rapid-needs-assessment-report-february-2023-assessment-dates-17-24-february-location-assessment-gaziantep-kilis-and-hatay-provinces,
           400              ,     Not mentioned        , Not mentioned ,"We were not prepared for so many and we were only equipped for 400 people.” Father Alejandro León, provincial superior of the province, explained that people felt added trauma with this new quake.",Syria,2023-03-02 14:16:39+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-salesians-aleppo-continue-work-after-powerful-aftershock,
              30           ,      -           ,   -    ,"One rescue took place 100 hours after the quakes, the other a further 30 hours later.",Syria,2023-03-02 13:33:50+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/thw-earthquake-operations-relief-supplies-syria,
             100           ,      -           ,   -    ,"One rescue took place 100 hours after the quakes, the other a further 30 hours later.",Syria,2023-03-02 13:33:50+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/thw-earthquake-operations-relief-supplies-syria,
             2             ,  Rescue workers ,   -    ,"One rescue took place 100 hours after the quakes, the other a further 30 hours later.",Syria,2023-03-02 13:33:50+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/thw-earthquake-operations-relief-supplies-syria,
" More than 1,250              ", Small and medium-sized enterprises (SMEs) , Earthquake-affected areas ,"The have started more than 2,500 small and medium-sized enterprises (SMEs) in our network, but over half are located in earthquake-affected areas.",Türkiye,2023-03-02 00:40:53+00:00,Assessment,https://reliefweb.int/report/turkiye/rapid-needs-assessment-february-2023-earthquakes-immediate-impact-syrian-smes-turkiye-enartr,
" More than 2,500              ", Small and medium-sized enterprises (SMEs) , Not specified ,"The have started more than 2,500 small and medium-sized enterprises (SMEs) in our network, but over half are located in earthquake-affected areas.",Türkiye,2023-03-02 00:40:53+00:00,Assessment,https://reliefweb.int/report/turkiye/rapid-needs-assessment-february-2023-earthquakes-immediate-impact-syrian-smes-turkiye-enartr,
" 9,000,000+ ", N/A , N/A ,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
" 44,375                    ", Not specified  , Not specified ,"According to the latest statement1 , 44.375 people lost their lives, and 108.368 people were injured.",Türkiye,2023-03-01 14:11:29+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-28022023,
" 108,368                   ", Not specified  , Not specified ,"According to the latest statement1 , 44.375 people lost their lives, and 108.368 people were injured.",Türkiye,2023-03-01 14:11:29+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-28022023,
 21                         , Teachers       , Education ,"Education: At least 1,941 schools were damaged, 40 of which were out of service with 21 teachers and 123 students killed by the earthquake.",Syria,2023-02-28 19:31:34+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-bi-weekly-highlights-28022023,
 123                        , Students       , Education ,"Education: At least 1,941 schools were damaged, 40 of which were out of service with 21 teachers and 123 students killed by the earthquake.",Syria,2023-02-28 19:31:34+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-bi-weekly-highlights-28022023,
" 535,000 ", Children , Education ,"More than 535,000 children can’t resume their education until those schools are safe and ready.",Syria,2023-02-28 19:31:34+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-bi-weekly-highlights-28022023,
"         1,900,000         ",     Workers    , Various,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
"           530,000         ",     Workers    , Various,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
550,Palestine refugees,Emergency shelters,"As a result, the number of displaced Palestine refugees staying in emergency shelters has increased dramatically in recent nights, up to 112 families (550 individuals).",Syria,2023-02-28 15:44:08+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-field-office-earthquake-status-update-no16-northern-syria-27-february-2023,
112,Palestine refugee families,Emergency shelters,"As a result, the number of displaced Palestine refugees staying in emergency shelters has increased dramatically in recent nights, up to 112 families (550 individuals).",Syria,2023-02-28 15:44:08+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-field-office-earthquake-status-update-no16-northern-syria-27-february-2023,
" 30,000                     ", Not Specified  , Not Specified     ,"According to the Minister of National Defence on 23 February, over 30,000 Syrians have, for the most part, temporarily exited to Syria after the earthquake, mainly to check on family and to attend burials and funerals.",Türkiye,2023-02-28 15:00:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-27-february-2023,Syria
             30            ,       N/A      ,       N/A      ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
             32            ,       N/A      ,       N/A      ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
            110            ,       N/A      ,       N/A      ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
             1             ,       N/A      ,       N/A      ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
" 11,000                     ", N/A            , N/A    ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed, leaving over 11,000 people homeless.",Syria,2023-02-27 17:57:47+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-27-february-2023,
" 41,020                     ", N/A            , N/A    ,"Introduction The earthquake disaster in Türkiye has had a severe impact on the people living in the area, causing 41,020 deaths, as of February 19, 20231, and thousands of injuries and relocations.",Türkiye,2023-02-27 16:27:23+00:00,Assessment,https://reliefweb.int/report/turkiye/kahramanmaras-earthquake-turkiye-rapid-market-assessment-dire-humanitarian-situation-6-february-2023,Türkiye
 1.25 million             , N/A            , N/A            ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
 150 , Not specified , Not specified ,At least 150 new injuries were recorded in the area in its aftermath.,Syria,2023-02-25 07:50:49+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-25-february-2023-enar,
" 12,400                     ", N/A             , Health ,"Health: Already strained health facilities are being overwhelmed by the number of casualties, with estimates as high as 12,400 people injured, with 150 additional being reported following the earthquake on 20 February.",Syria,2023-02-24 18:24:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/northwest-syria-earthquake-february-2023-bi-weekly-highlights-24022023,
 150                        , N/A             , Health ,"Health: Already strained health facilities are being overwhelmed by the number of casualties, with estimates as high as 12,400 people injured, with 150 additional being reported following the earthquake on 20 February.",Syria,2023-02-24 18:24:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/northwest-syria-earthquake-february-2023-bi-weekly-highlights-24022023,
        0.07      ,     Unknown    , Unknown ,"Access to markets is reported as challenging, with 7% of communities without access, and shortages of both food and non-food items in many areas Education: 46 schools and temporary learning spaces are used as shelters by the earthquake-affected communities.",Syria,2023-02-24 18:24:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/northwest-syria-earthquake-february-2023-bi-weekly-highlights-24022023,
        46        ,     Teachers   , Education ,"Access to markets is reported as challenging, with 7% of communities without access, and shortages of both food and non-food items in many areas Education: 46 schools and temporary learning spaces are used as shelters by the earthquake-affected communities.",Syria,2023-02-24 18:24:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/northwest-syria-earthquake-february-2023-bi-weekly-highlights-24022023,
" 535,000                    ", Children       , Education ,"More than 535,000 children can’t resume their education until those schools are safe and ready.",Syria,2023-02-24 17:58:50+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-bi-weekly-highlights-24022023,
" 108,000          ", N/A             , N/A    ,"More than 108,000 people have been injured due to the earthquakes, while over 448,018 people from affected areas have evacuated and relocated to safer areas, according to the latest official figures from Türkiye’s Disaster and Emergency Management Authority (AFAD) on 18 and 21 February 2023 respectively.",Türkiye,2023-02-24 10:34:55+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-4-23-february-2023,
" 448,018          ", N/A             , N/A    ,"More than 108,000 people have been injured due to the earthquakes, while over 448,018 people from affected areas have evacuated and relocated to safer areas, according to the latest official figures from Türkiye’s Disaster and Emergency Management Authority (AFAD) on 18 and 21 February 2023 respectively.",Türkiye,2023-02-24 10:34:55+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-4-23-february-2023,
 100+ , Building Contractors , Construction/Building ,"In Türkiye, the Ministry of Justice announced the detention of over 100 building contractors for building code and other regulatory violations.",Türkiye,2023-02-24 00:51:02+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiyesyria-human-rights-response-6-february-earthquakes-enar,Türkiye
 90               , N/A             , N/A    ,"In the first two days following the earthquake, the state detained over 90 people, including journalists, some based solely on their social media posts.",Türkiye,2023-02-24 00:51:02+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiyesyria-human-rights-response-6-february-earthquakes-enar,
" 11,000 ", Not specified , Not specified ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed, leaving over 11,000 people homeless.",Syria,2023-02-23 16:28:02+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-flash-update-3-emergency-response-earthquake-23-february-2022,
          42.310           ,       N/A       ,   N/A  ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
          108.068          ,       N/A       ,   N/A  ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
          105.794          ,       N/A       ,   N/A  ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
" 15,200,000 ", General population , Multiple sectors ,"These earthquakes destroyed 11 provinces and affecting 15.2 million people, including 5.4 million children, living in affected provinces.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
" 5,400,000 ", Children ,  ,"These earthquakes destroyed 11 provinces and affecting 15.2 million people, including 5.4 million children, living in affected provinces.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
 150 , N/A , N/A ,At least 150 new injuries were recorded in the area in its aftermath.,Syria,2023-02-23 06:07:39+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/earthquakes-north-west-syria-flash-update-no-13-23-february-2023-enar,
" 11,000 ", Homeowners , Housing ,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-22 22:02:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v13-18-february-2023-enar,
