productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 Roads and bridges ," 13,000 km and 440 respectively ","Widespread damage has been reported to over 2 million houses, more than 1.1 million livestock has been lost and more than 13,000 km of roads and 440 bridges have been affected.",Pakistan,2022-10-05 11:35:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rains-update-dg-echo-ndma-pmd-echo-daily-flash-05-october-2022,
 Housing ," 750,000 fully destroyed ","Over 750,000 houses are fully destroyed, 1,277,861 partially destroyed and more than 1 million livestock killed as of 2 October 2022.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
 Housing ," 1,277,861 partially destroyed ","Over 750,000 houses are fully destroyed, 1,277,861 partially destroyed and more than 1 million livestock killed as of 2 October 2022.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
 Livestock ," >1,000,000 killed ","Over 750,000 houses are fully destroyed, 1,277,861 partially destroyed and more than 1 million livestock killed as of 2 October 2022.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
 Bridges , More than 400 ,"The epic floods also damaged or destroyed millions of acres of food crops, over two million homes, 13,000km of roads and more than 400 bridges.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
         Rice         ,              15%               ,"“Food insecurity is increasing and, according to the latest estimates from officials, Pakistan lost almost 15 per cent of its rice crop in the floods, which also destroyed many farming families’ grain reserves.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,Pakistan
 N/A , Over 2 million homes ,"The epic floods also damaged or destroyed millions of acres of food crops, over two million homes, 13,000km of roads and more than 400 bridges.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
 Roads ," 13,000 km ","The epic floods also damaged or destroyed millions of acres of food crops, over two million homes, 13,000km of roads and more than 400 bridges.",Pakistan,2022-10-05 00:34:10+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-faces-monumental-hunger-crisis-after-floods,
 Animals , 1.1 million ,"Regarding the livestock sector, preliminary official estimates show that 1.1 million animals, including cattle, goats, donkeys and sheep, died due to drowning or starvation as grazing land was covered by water and feed stocks were lost.",Pakistan,2022-10-04 19:30:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/giews-country-brief-pakistan-04-october-2022,
 Housing , 2 million homes damaged or destroyed ,"CONTEXT Heavy rainfall, floods and landslides have led to the largest housing loss in any disaster this century with over 2 million homes damaged or destroyed.",Pakistan,2022-10-04 09:26:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelter-sector-pakistan-2022-flood-response-factsheet-4th-october-2022,
 Infrastructure       ," 2,000,000                      ","House and infrastructure damage More than 2 million houses have been affected, comprising over 767,000 houses destroyed and nearly 1.3 million houses damaged.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 Houses               ," 1,300,000                      ","House and infrastructure damage More than 2 million houses have been affected, comprising over 767,000 houses destroyed and nearly 1.3 million houses damaged.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 Houses               ," 767,000                        ","House and infrastructure damage More than 2 million houses have been affected, comprising over 767,000 houses destroyed and nearly 1.3 million houses damaged.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 Houses ," 17,500 destroyed ","At least 17,500 houses have been destroyed and another 43,900 houses partially damaged.",Pakistan,2022-10-04 07:08:00+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-needs-assessment-report-2022-monsoon-floods-balochistan-pakistan-august-2022,
 Houses ," 43,900 partially damaged ","At least 17,500 houses have been destroyed and another 43,900 houses partially damaged.",Pakistan,2022-10-04 07:08:00+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-needs-assessment-report-2022-monsoon-floods-balochistan-pakistan-august-2022,
 Houses               ," 800,000 fully damaged  ","The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 Houses               ," 1,210,000 partially damaged ","The floods have caused around 800,00 houses to be fully damaged, and another 1,210,000 to be partially damaged, as well as the temporary relocation of millions of affected households.",Pakistan,2022-10-04 06:56:26+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-2022-multi-sector-rapid-needs-assessment-flood-affected-areas-khyber-pakhtunkhwa-punjab-and-sindh-september-2022,
 livestock             ," 21,328 reported perished       ","Moreover, 1,575 KM of road infrastructure has been inundated, 107 bridges collapsed, and 21,328 livestock have been reportedly perished in the floods.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 Livestock ," 943,909 ",The livestock losses as reported are 943909.,Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
" Houses, shops, crop lands "," Over 400 houses, over 300 shops, over 10,000 acres crop lands","Major sources of livelihood affected including agriculture (62%), Livestock (28%), Labour (47%), Pvt.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
 Animals               , 1.1 million                    ,Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-10-03 18:00:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-03-october-2022,
 Homes , At least 70% of mud brick homes washed away ,"Whilst HF teams have been visiting provinces, their assessment is that at least 70% of mud brick homes have been washed away, and even brick homes are showing extensive cracks.",Pakistan,2022-10-03 00:12:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-05-30-september-2022,
 Animals ," 11,142,095 ","A total of 11,142,095 animals were lost during the floods all over the country.",Pakistan,2022-09-29 13:43:54+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-need-assessment-flood-emergency-balochistan-sind-kp-27th-sep-2022,
      -       ,   1.76 million houses         ,"Due to the frequent flooding stemming from monsoons and melting glaciers in the country’s northern mountainous regions since June, the Pakistani government said 1,486 people died, 12,749 people were injured and 1.76 million houses were destroyed (as 14 September).",Pakistan,2022-09-29 08:53:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-1-floods-pakistan-27-september-2022,
 N/A                   , $30 billion   ,There is an estimated $30 billion in damages.,Pakistan,2022-09-27 15:23:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-salesian-missionaries-respond-devastating-flooding,
 Homes , 2 million ,"Now my parents, siblings and my son are all living together in this tent [provided by Save the Children].” More than two million homes have been destroyed since the floods first hit in June, displacing 7.6 million people.",Pakistan,2022-09-27 06:31:07+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-children-risk-snake-bites-and-disease-70-flood-hit-families-live-squalid-conditions-without-proper-shelter,
 Housing               ," 2,000,000 homes                ","Since the season started 2 million people have lost their homes and are now living under the open sky with no source of food and water, livestock dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 Livestock ," 1,100,000 ",Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-09-26 17:52:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-reliefs-pakistan-floods-response-2022-26-september-2022,
 Homes                ," 1.1 million damaged, 436k destroyed ","Over 1.1 million homes have been damaged of which over 436k have been destroyed, and in many cases, washed away.",Pakistan,2022-09-24 21:09:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-04-24-september-2022,
 houses                , 1.2 million                    ,"The number of damaged and destroyed houses in Pakistan now exceeds 2 million, with over 1.2 million houses damaged and over 805,000 houses destroyed as of 23 September.",Pakistan,2022-09-24 17:30:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-7-23-september-2022,Pakistan
 houses                ," 805,000                       ","The number of damaged and destroyed houses in Pakistan now exceeds 2 million, with over 1.2 million houses damaged and over 805,000 houses destroyed as of 23 September.",Pakistan,2022-09-24 17:30:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-7-23-september-2022,Pakistan
 -                    ," 1,569                          ","Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 Road                 ," 12,716                         ","Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 Houses               ," 2,009,794                      ","Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 Animal                ," 998,407               ","Approximately 998,407 livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 Bridges              , 374                            ,"Since the season started 2,009,794 million people have lost their homes and living under the open sky with no source of food and water, livestock 1,569 DEAD 33 Million PEOPLE AFFECTED 12,860 INJURED 374 BRIDGE DAMAGED 12,716 KM ROADS DAMAGED 2,009,794 HOUSES DAMAGED 998,407 LIVESTOCK PERISHED dying and children on the verge of facing dangerous water bourne diseases.",Pakistan,2022-09-24 15:19:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-21-september-2022,
 Crop                                  , 1/3                               ,"Pakistan estimates that as many as 1.7 million houses have been lost, as well as one-third of their cotton crop.",Pakistan,2022-09-19 00:37:02+00:00,News and Press Release,https://reliefweb.int/report/pakistan/additional-humanitarian-assistance-response-pakistan-floods,Pakistan
 House                              , 1.7 million                  ,"Pakistan estimates that as many as 1.7 million houses have been lost, as well as one-third of their cotton crop.",Pakistan,2022-09-19 00:37:02+00:00,News and Press Release,https://reliefweb.int/report/pakistan/additional-humanitarian-assistance-response-pakistan-floods,Pakistan
 Livestock ," 936,000 ","Nearly 936,000 livestock have been lost since mid-June, with serious repercussions on the livelihoods of affected households and on the supply of animal products including milk and meat.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 N/A , 552 children killed ,"To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 N/A ," 1,500 deaths recorded since mid-June ","To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 Houses ," 1.14 million damaged; 765,000 demolished ","To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 N/A ," 12,800 injuries recorded since mid-June ","To date, more than 1.14 million houses have been damaged and over 765,000 houses have been destroyed across the country, according to the National Disaster Management Authority (NDMA), while over 1,500 deaths and more than 12,800 injuries were recorded since mid-June, including 552 children killed and over 4,000 children injured.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
         Homes        ,"          1,800,000             ","Over 1.8 million homes have now been damaged of which over 581k have been totally destroyed, and in many cases, washed away.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
 Mud Brick Homes , At Least 70% of Mud Brick Homes Wiped Away ,"Whilst HF teams have been visiting provinces, their assessment is that at least 70% of mud brick homes have been washed away, and even brick homes are showing extensive cracks.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
     Totally destroyed homes     ,"              581,000               ","Over 1.8 million homes have now been damaged of which over 581k have been totally destroyed, and in many cases, washed away.",Pakistan,2022-09-16 22:23:15+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-03-16-september-2022,
 Cropland , 13.8 million acres ,"Infrastructure in the flooding’s path has been decimated, with more than 1.7 million homes, an estimated 13.8 million acres of cropland, thousands of miles of road and hundreds of bridges damaged or destroyed.",Pakistan,2022-09-15 23:25:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-20-million-additional-humanitarian-assistance-response-flooding-pakistan,
 Houses , 1.7 million ,"Infrastructure in the flooding’s path has been decimated, with more than 1.7 million homes, an estimated 13.8 million acres of cropland, thousands of miles of road and hundreds of bridges damaged or destroyed.",Pakistan,2022-09-15 23:25:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-20-million-additional-humanitarian-assistance-response-flooding-pakistan,
 Not mentioned , 6 feet increase in water levels ,"Its efforts proved futile: the ruptured wall inundated approximately 400 villages, affecting nearly 135,000 people and increasing water levels as much as six feet.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
  livestock            ,"            900,000             ","The flooding has drowned 900,000 livestock and obliterated 80 to 90 percent of crops and over 4 million acres of farmland.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
 crops                ,          80-90% of crops       ,"The flooding has drowned 900,000 livestock and obliterated 80 to 90 percent of crops and over 4 million acres of farmland.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
 farmland             ,            4 million acres      ,"The flooding has drowned 900,000 livestock and obliterated 80 to 90 percent of crops and over 4 million acres of farmland.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
 Homes                ," 1,700,000                      ","Around 1.7 million homes have been destroyed or badly damaged by the flooding, leaving many homeless and exposed to the elements.",Pakistan,2022-09-15 09:30:41+00:00,News and Press Release,https://reliefweb.int/report/pakistan/dec-pakistan-floods-appeal-raises-ps25m-two-weeks-rains-return-worst-hit-areas,
     Homes/Buildings  ,           1.7 Million           ,"At its peak, flood waters submerged approximately one-third of the country, washed away crops, and destroyed or damaged more than 1.7 million homes, critical infrastructure, and thousands of miles of roads that had previously connected towns and cities.",Pakistan,2022-09-13 20:33:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/three-ways-usaid-responding-flooding-pakistan,
 Houses ," 1,682,726 ","A total of 1,682,726 houses are fully and partially damaged during floods in 2022.",Pakistan,2022-09-13 16:20:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-flood-2022-muslim-aid-humanitarian-response-balochistan-2022-0,
 N/A , USD 12 billion to USD 30 billion ,Key figures Flood losses are estimated at between USD 12 and 30 billion.,Pakistan,2022-09-13 14:55:27+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-4-13-september,
 Rice                 , 80%                              ,"Food security: Increased prices are further diminishing households’ purchasing power, with reportedly the price of rice per kg rising by close to 80% since January.",Pakistan,2022-09-13 14:55:27+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-4-13-september,
     livestock         ,"            750,230            ","• At least 1,396 people have died and 12,728 have been injured since 14 June, while reported livestock losses amount to nearly 750,230.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
 Homes ," 1.7 million damaged, 560k totally destroyed ","Over 1.7 million homes have now been damaged of which over 560k have been totally destroyed, and in many cases, washed away.",Pakistan,2022-09-12 01:09:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-2022-humanity-first-situation-update-02-09-september-2022,
         crops        ,"         2,000,000             ","More than 1,300 fatalities have been reported, over 950,000 houses either damaged or fully wrecked and 2 million acres of crops destroyed.",Pakistan,2022-09-09 18:35:24+00:00,Situation Report,https://reliefweb.int/report/pakistan/unhcr-regional-bureau-asia-and-pacific-rbap-flash-update-pakistan-floods-9-september-2022,
         houses       ,"         950,000               ","More than 1,300 fatalities have been reported, over 950,000 houses either damaged or fully wrecked and 2 million acres of crops destroyed.",Pakistan,2022-09-09 18:35:24+00:00,Situation Report,https://reliefweb.int/report/pakistan/unhcr-regional-bureau-asia-and-pacific-rbap-flash-update-pakistan-floods-9-september-2022,
 Livestock ," 750,000+ ","More than 750,000 livestock – a critical source of income for many families – died after the rainfall, which in August was more than five times the national 30-year average in some parts of Pakistan.",Pakistan,2022-09-09 16:30:23+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-emergency-fund-helps-boost-flood-response-pakistan,Pakistan
 roads ," 6,000 km ","Since the heavy rains started, more than 6,000 kilometres of road and 243 bridges have been damaged or destroyed.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
 bridges , 243 ,"Since the heavy rains started, more than 6,000 kilometres of road and 243 bridges have been damaged or destroyed.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
 Livestock ," 750,000 ","Food insecurity is looming following the loss of 750,000 livestock and additional spoiled agricultural produce.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
 Crops , 3.6 million acres ,"Agriculture has also been destroyed, with the floods ruining more than 3.6 million acres of crops and killing over 800,000 livestock.",Pakistan,2022-09-09 10:23:59+00:00,News and Press Release,https://reliefweb.int/report/pakistan/mercy-relief-responds-devastating-floods-pakistan,
 Livestock ," 800,000 ","Agriculture has also been destroyed, with the floods ruining more than 3.6 million acres of crops and killing over 800,000 livestock.",Pakistan,2022-09-09 10:23:59+00:00,News and Press Release,https://reliefweb.int/report/pakistan/mercy-relief-responds-devastating-floods-pakistan,
      Houses          ,       1.17 Million     ,"More than 1.17 million houses have been damaged and nearly 566,000 houses have been destroyed as of 8 September reported by NDMA",Pakistan,2022-09-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-2-floods-09-september-2022,
      Houses          ,"       566,000         ","More than 1.17 million houses have been damaged and nearly 566,000 houses have been destroyed as of 8 September reported by NDMA",Pakistan,2022-09-09 00:00:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-2-floods-09-september-2022,
 Houses , 1.7 million ,"As of September 7, the floods had damaged or destroyed more than 1.7 million houses and resulted in the deaths of at least 1,355 people countrywide since June 14, according to the GoP National Disaster Management Authority (NDMA).",Pakistan,2022-09-08 13:52:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-fact-sheet-3-fiscal-year-fy-2022,
 N/A ," 64,385 ","The PDMA also reported that the heavy rains caused loss of 500000 livestock, 64385 houses are damaged by the rains and floods in the province out of which 18410 houses are completely destroyed while 45975 houses are partially damaged.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A ," 18,410 ","The PDMA also reported that the heavy rains caused loss of 500000 livestock, 64385 houses are damaged by the rains and floods in the province out of which 18410 houses are completely destroyed while 45975 houses are partially damaged.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A ," 45,975 ","The PDMA also reported that the heavy rains caused loss of 500000 livestock, 64385 houses are damaged by the rains and floods in the province out of which 18410 houses are completely destroyed while 45975 houses are partially damaged.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 Houses ," 1,498,976 (487,410 fully and 1,011,566 partially) ","Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 Infrastructures ," 2,578 KM ","Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A , 45 ,"Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A ," 24,144 losses have been reported by Sindh Livestock Department ","Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A ," 3,277,502 acres ","Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 N/A , 63 ,"Meanwhile, 1498976 (including 487410 fully and 1011566 partially) houses have been damaged, moreover, 2578 KM roads infrastructures have vanished, 45 shops have been destructed, 26815 animals perished and out of which 24144 losses have been reported by Sindh Livestock Department, 3,277,502 acres of cultivated land have also damaged and 63 Bridges are collapsed.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 Livestock ," 500,000 ","The PDMA also reported that the heavy rains caused loss of 500000 livestock, 64385 houses are damaged by the rains and floods in the province out of which 18410 houses are completely destroyed while 45975 houses are partially damaged.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 Cattle          , 751145                         ,"• At least 1,343 people have died and 12,720 have been injured since 14 June, while reported livestock losses amount to 751,145.",Pakistan,2022-09-08 10:06:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-6-september-2022,
 N/A , 33 million people ,"Impoverished Districts Especially Hard Hit Disastrous floods now cover nearly one-third of Pakistan, causing billions of dollars in damages to crops, houses, and other buildings, and severely impacting the lives of 33 million people, many of whom have been displaced from their homes.",Pakistan,2022-09-07 19:44:51+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-dire-millions-children,Pakistan
 School ," 18,000 (partially or fully destroyed) ","The floods have also fully or partially destroyed more than 18,000 schools.",Pakistan,2022-09-07 19:44:51+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-dire-millions-children,
