Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
,,,,"54, 448 Earthquake-related Deaths Reported in Türkiye and Syria Media – March 2023 240, 000 Number of Damaged or Destroyed Buildings in Türkiye and Syria UN – March 2023 2.7 MILLION Number of People Displaced in Türkiye IOM – March 2023 500, 000 Number of People Displaced in Syria UN – March 2023 Heavy rainfall and subsequent flooding in earthquake-affected areas of Türkiye and Syria have resulted in dozens of deaths and damaged or destroyed thousands of shelters in both countries.",Türkiye,2023-03-24 17:20:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquakes-fact-sheet-13-fiscal-year-fy-2023-march-24-2023,Syria
---------------------,----------------------------,------------------,--------------------------------,"At least 30 displacement sites were flooded, and many of these camps had been set up to house families displaced by the earthquakes.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,
       0             ,             0              ,   N/A            ,                N/A             ,"At least 30 displacement sites were flooded, and many of these camps had been set up to house families displaced by the earthquakes.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,
       30            ,           Flooded           ,   Displacement   ,                N/A             ,"At least 30 displacement sites were flooded, and many of these camps had been set up to house families displaced by the earthquakes.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,
-------------------:,:------------------,:-------------,:----------------------,"Some 1,500 tents were destroyed or damaged during the flood.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,
"               1,500 ", destroyed/damaged , Tents         , N/A                   ,"Some 1,500 tents were destroyed or damaged during the flood.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,
 ------------------- , --------------- , --------------- , --------------------- ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
" 2,260               ", Destroyed       , Not mentioned   , Not mentioned          ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
" 32,000              ", Damaged         , Not mentioned   , Not mentioned          ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
 Not mentioned       , Not mentioned  , Household       , Not mentioned          ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
 Not mentioned       , Not mentioned  , Residence       , Not mentioned          ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
" 5,900               ", Not mentioned  , Not mentioned   , Not mentioned          ,"The Overview states that the earthquakes destroyed more than 2,260 buildings, damaged more than 32,000 buildings and killed more than 5,900 people in Syria.",Syria,2023-03-23 12:24:28+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-22-march-2023,Syria
-------------,------------,--------------,--------,"In his 28 February briefing to the Council, Griffiths highlighted the deteriorating humanitarian situation in the country, noting that the earthquakes have destroyed entire neighbourhoods, rendering them uninhabitable.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
 Entire      , Destroyed  , Neighborhood , NA     ,"In his 28 February briefing to the Council, Griffiths highlighted the deteriorating humanitarian situation in the country, noting that the earthquakes have destroyed entire neighbourhoods, rendering them uninhabitable.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
--------------,------------,------------,--------,"In his 28 February briefing to the Council, Griffiths highlighted the deteriorating humanitarian situation in the country, noting that the earthquakes have destroyed entire neighbourhoods, rendering them uninhabitable.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
 Nil         , Damaged    , Household   , NA     ,"In his 28 February briefing to the Council, Griffiths highlighted the deteriorating humanitarian situation in the country, noting that the earthquakes have destroyed entire neighbourhoods, rendering them uninhabitable.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
 Nil         , Damaged    , Residence   , NA     ,"In his 28 February briefing to the Council, Griffiths highlighted the deteriorating humanitarian situation in the country, noting that the earthquakes have destroyed entire neighbourhoods, rendering them uninhabitable.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
-----------------------------,----------------------,------------------,-----------------------,"In 11 provinces in the earthquake zone, the number of demolished buildings has reached 298 thousand.",Türkiye,2023-03-24 12:18:33+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-friday-24-march-2023-situation-report-18-entr,
" 298,000                     ", Demolished            , Household        , N/A                   ,"In 11 provinces in the earthquake zone, the number of demolished buildings has reached 298 thousand.",Türkiye,2023-03-24 12:18:33+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-friday-24-march-2023-situation-report-18-entr,
--------------------,----------------,------------------,-----------------------,Some 600 tents were destroyed and 897 damaged.,Syria,2023-03-23 19:11:09+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-23-march-2023,
 1497               , Destroyed: 600 , Tent             , -                     ,Some 600 tents were destroyed and 897 damaged.,Syria,2023-03-23 19:11:09+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-23-march-2023,
                    , Damaged: 897   ,                  , -                     ,Some 600 tents were destroyed and 897 damaged.,Syria,2023-03-23 19:11:09+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-23-march-2023,
---------------------,---------------,-----------------,--------------------------------,Nearly 70 percent of those surveyed said their homes had been partially destroyed.,Syria,2023-03-23 00:56:37+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/almost-three-quarters-displaced-syrians-surveyed-aleppo-say-they-are-having-skip-meal-every-day-earthquake,
        1            ,   Partially   ,     Household   ,              Not given          ,Nearly 70 percent of those surveyed said their homes had been partially destroyed.,Syria,2023-03-23 00:56:37+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/almost-three-quarters-displaced-syrians-surveyed-aleppo-say-they-are-having-skip-meal-every-day-earthquake,
        70%          ,    Destroyed  ,   Residence     ,              Not given          ,Nearly 70 percent of those surveyed said their homes had been partially destroyed.,Syria,2023-03-23 00:56:37+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/almost-three-quarters-displaced-syrians-surveyed-aleppo-say-they-are-having-skip-meal-every-day-earthquake,
 ------------------ , ------------------ , ------------- , --------------------- ,"The devastating earthquakes killed more than 48,000 people in Türkiye alone, injured more than 115,000 and displaced 2.7 million people with people now living in temporary settlements – including tents.",Türkiye,2023-03-22 01:03:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/well-fast-even-just-bread-and-water-families-turkiye-are-struggling-ahead-first-holy-month-ramadan-after-devastating-earthquakes,Türkiye
 Not mentioned       , Not mentioned       , Not mentioned , Not mentioned         ,"The devastating earthquakes killed more than 48,000 people in Türkiye alone, injured more than 115,000 and displaced 2.7 million people with people now living in temporary settlements – including tents.",Türkiye,2023-03-22 01:03:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/well-fast-even-just-bread-and-water-families-turkiye-are-struggling-ahead-first-holy-month-ramadan-after-devastating-earthquakes,Türkiye
                    ,                    ,               ,                       ,"The devastating earthquakes killed more than 48,000 people in Türkiye alone, injured more than 115,000 and displaced 2.7 million people with people now living in temporary settlements – including tents.",Türkiye,2023-03-22 01:03:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/well-fast-even-just-bread-and-water-families-turkiye-are-struggling-ahead-first-holy-month-ramadan-after-devastating-earthquakes,Türkiye
------------------------------,------------------------------------------,-----------------,--------------------------------,"The most important thing for us is to have a safe place to stay and good hygiene.” Zeynep*, 41, lives in a tent in the same village with her husband and four children after their house was destroyed in the earthquake.",Türkiye,2023-03-22 01:03:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/well-fast-even-just-bread-and-water-families-turkiye-are-struggling-ahead-first-holy-month-ramadan-after-devastating-earthquakes,
 1                            , Destroyed                                , Household       , Unknown                        ,"The most important thing for us is to have a safe place to stay and good hygiene.” Zeynep*, 41, lives in a tent in the same village with her husband and four children after their house was destroyed in the earthquake.",Türkiye,2023-03-22 01:03:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/well-fast-even-just-bread-and-water-families-turkiye-are-struggling-ahead-first-holy-month-ramadan-after-devastating-earthquakes,
---------------------,---------------,-----------------,---------------------------------,The survey found: Nearly 70 percent said their homes had been partially destroyed.,Türkiye,2023-03-23 01:08:23+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquake-pledges-come-make-or-break-moment,
          1          ,   Partially   ,    Household    ,            Not reported             ,The survey found: Nearly 70 percent said their homes had been partially destroyed.,Türkiye,2023-03-23 01:08:23+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquake-pledges-come-make-or-break-moment,
          1          ,    Destroyed  ,    Residence     ,            Not reported             ,The survey found: Nearly 70 percent said their homes had been partially destroyed.,Türkiye,2023-03-23 01:08:23+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquake-pledges-come-make-or-break-moment,
---------------------,---------------,-----------------,--------------------------------,"“The current 60-day limit for Syrian refugee earthquake survivors on time spent outside the region leaves them in limbo, with many fearing they will be forced back to inadequate housing arrangements in the devastated provinces,” said Nadia Hardman, refugee and migrant rights researcher at Human Rights Watch.",Türkiye,2023-03-22 04:17:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkey-suspend-time-limit-travel-outside-quake-zone-entr,
          0          ,      N/A      ,       N/A       ,               N/A              ,"“The current 60-day limit for Syrian refugee earthquake survivors on time spent outside the region leaves them in limbo, with many fearing they will be forced back to inadequate housing arrangements in the devastated provinces,” said Nadia Hardman, refugee and migrant rights researcher at Human Rights Watch.",Türkiye,2023-03-22 04:17:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkey-suspend-time-limit-travel-outside-quake-zone-entr,
 :------------------------: , :-------------------------------------: , :--------------: , :----------------------------: ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
"           650,000          ",               Destroyed                 ,     Household    ,                                ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
                            ,               Destroyed                 ,     Residence    ,                                ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
                            ,               Damaged                   ,     Household    ,                                ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
                            ,               Damaged                   ,     Residence    ,                                ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
                            ,                                         ,                  ,         Not specified          ,"Staggering needs The double earthquakes struck on 6 February, displacing roughly 3.3 million people in Türkiye and destroying some 650,000 apartment buildings and houses.",Türkiye,2023-03-20 20:41:52+00:00,News and Press Release,https://reliefweb.int/report/turkiye/un-underlines-commitment-support-communities-affected-syria-turkiye-earthquakes,Türkiye
----------------------,-------------------,------------------,---------------------------,"Since the first earthquake of 6 February, 97,400 households have been displaced.4 The number of collective shelters and their residents continues to fluctuate as humanitarian partners work to rehabilitate shelters, support the reopening of schools that have been used as shelters and install additional WASH facilities to ensure basic hygiene and minimum privacy requirements are met.",Syria,2023-03-21 12:10:29+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unicef-syria-humanitarian-situation-report-no-5-earthquake-7-14-march-2023,
          0              ,           -               ,   Household     ,"         97,400            ","Since the first earthquake of 6 February, 97,400 households have been displaced.4 The number of collective shelters and their residents continues to fluctuate as humanitarian partners work to rehabilitate shelters, support the reopening of schools that have been used as shelters and install additional WASH facilities to ensure basic hygiene and minimum privacy requirements are met.",Syria,2023-03-21 12:10:29+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unicef-syria-humanitarian-situation-report-no-5-earthquake-7-14-march-2023,
          0              ,           Damaged ,   Residence      ,               -               ,"Since the first earthquake of 6 February, 97,400 households have been displaced.4 The number of collective shelters and their residents continues to fluctuate as humanitarian partners work to rehabilitate shelters, support the reopening of schools that have been used as shelters and install additional WASH facilities to ensure basic hygiene and minimum privacy requirements are met.",Syria,2023-03-21 12:10:29+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unicef-syria-humanitarian-situation-report-no-5-earthquake-7-14-march-2023,
          0              ,         Destroyed ,   -                    ,               -               ,"Since the first earthquake of 6 February, 97,400 households have been displaced.4 The number of collective shelters and their residents continues to fluctuate as humanitarian partners work to rehabilitate shelters, support the reopening of schools that have been used as shelters and install additional WASH facilities to ensure basic hygiene and minimum privacy requirements are met.",Syria,2023-03-21 12:10:29+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unicef-syria-humanitarian-situation-report-no-5-earthquake-7-14-march-2023,
---------------------,-----------------------------------,-----------------,--------------------------------,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          0          ,                N/A                ,       N/A       ,              N/A               ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          1          ,              Damaged              ,    Household    ,              N/A               ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          1          ,              Destroyed            ,    Household    ,              N/A               ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          1          ,"            Damaged,               ",    Residence    ,              N/A               ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
                     ,            Destroyed              ,                 ,                                 ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          1          ,    Partially damaged and uninhabitable  ,    Household    ,               Some             ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
          1          ,    Completely destroyed and uninhabitable ,    Residence    ,              High             ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
        100+         ,    Varied levels of damage          ,   Household     ,              Varied           ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
        100+         ,    Varied levels of damage          ,   Residence     ,              Varied           ,"People have survived 12 years of grinding conflict in which people lost loved ones, livelihoods, and homes.",Syria,2023-03-20 11:51:11+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-humanitarian-aid-lifeline-risk-fraying-without-worlds-solidarity-and-support-enar,
------------------------,---------------------,--------------------,----------------------------,"At least 375 tents sheltering families have been destroyed or left uninhabitable, and over 530 tents were partially damaged, according to Save the Children’s partners in the area.",Syria,2023-03-20 16:29:30+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-children-terrified-sleeping-tents-storms-and-flooding-damage-shelters-families-already-affected-earthquakes,
 375                    , Destroyed/Uninhabitable , Household/Residence , Unknown                 ,"At least 375 tents sheltering families have been destroyed or left uninhabitable, and over 530 tents were partially damaged, according to Save the Children’s partners in the area.",Syria,2023-03-20 16:29:30+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-children-terrified-sleeping-tents-storms-and-flooding-damage-shelters-families-already-affected-earthquakes,
 530                    , Partially Damaged     , Household/Residence , Unknown                 ,"At least 375 tents sheltering families have been destroyed or left uninhabitable, and over 530 tents were partially damaged, according to Save the Children’s partners in the area.",Syria,2023-03-20 16:29:30+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-children-terrified-sleeping-tents-storms-and-flooding-damage-shelters-families-already-affected-earthquakes,
---------------,-----------------,-----------------,--------------------------------------,"Housing is the most severely affected sector (24% of total damages), followed by transport, environment (the associated cost of clearing the rubble) and agriculture.",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Available  , Damaged , Household , 24% of total damages ,"Housing is the most severely affected sector (24% of total damages), followed by transport, environment (the associated cost of clearing the rubble) and agriculture.",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Available  , Destroyed , Residence , Not Available ,"Housing is the most severely affected sector (24% of total damages), followed by transport, environment (the associated cost of clearing the rubble) and agriculture.",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 ------------------- , --------------- , ------------- , ----------------------------- ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Mentioned       , Damaged         , Household     , Not Mentioned                 ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Mentioned       , Destroyed       , Residence     , Not Mentioned                 ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Mentioned       , Not Mentioned   , Not Mentioned , 44% of total damages           ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 Not Mentioned       , Not Mentioned   , Not Mentioned , 21% of total damages           ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
,,,,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 :---: , :---: , :---: , :---: ,"More than 7,400 buildings have been completely or partially destroyed.",Türkiye,2023-03-19 11:45:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-1-march-20-2023,
" 7,400 ", completely/partially destroyed , residential , not specified ,"More than 7,400 buildings have been completely or partially destroyed.",Türkiye,2023-03-19 11:45:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-1-march-20-2023,
---,---,---,---,"In this area alone, approximately 1,000 houses flooded and 7,000 people were evacuated.",Syria,2023-03-20 14:24:02+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/displaced-syrian-families-receive-aid-after-earthquakes-floods,
" 1,000 ", Flooded , Household , Not provided ,"In this area alone, approximately 1,000 houses flooded and 7,000 people were evacuated.",Syria,2023-03-20 14:24:02+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/displaced-syrian-families-receive-aid-after-earthquakes-floods,
 N/A , Not destroyed , Residence , Not provided ,"In this area alone, approximately 1,000 houses flooded and 7,000 people were evacuated.",Syria,2023-03-20 14:24:02+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/displaced-syrian-families-receive-aid-after-earthquakes-floods,
 N/A , Not damaged , N/A , Not provided ,"In this area alone, approximately 1,000 houses flooded and 7,000 people were evacuated.",Syria,2023-03-20 14:24:02+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/displaced-syrian-families-receive-aid-after-earthquakes-floods,
 N/A , Not provided , N/A , Not provided ,"In this area alone, approximately 1,000 houses flooded and 7,000 people were evacuated.",Syria,2023-03-20 14:24:02+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/displaced-syrian-families-receive-aid-after-earthquakes-floods,
----------------,-----------,-----------------,-----------------------,• Five hundred and sixty-two Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake.,Syria,2023-03-19 20:03:37+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-situation-report-no-4-16-march-2023,
      562       ,  Damaged  ,     Household   ,        Unknown        ,• Five hundred and sixty-two Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake.,Syria,2023-03-19 20:03:37+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-situation-report-no-4-16-march-2023,
        9       , Destroyed ,     Facility    ,        Unknown        ,• Five hundred and sixty-two Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake.,Syria,2023-03-19 20:03:37+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-situation-report-no-4-16-march-2023,
---------------------,----------------,------------------,-----------------------,"Besides the loss of homes, around 454 schools in Syria are reported to have been destroyed following the deadly earthquakes.",Syria,2023-03-17 13:34:30+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/over-150000-families-without-adequate-shelter-syria-after-earthquake,Syria
        454          ,   Destroyed    ,     Schools      ,          N/A          ,"Besides the loss of homes, around 454 schools in Syria are reported to have been destroyed following the deadly earthquakes.",Syria,2023-03-17 13:34:30+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/over-150000-families-without-adequate-shelter-syria-after-earthquake,Syria
------------------------------,---------------,-----------------,--------------------------------,"The floods have caused the death of at least 18 people, as well as damage to around 2,000 homes and workplaces, according to the Ministry of Interior.",Türkiye,2023-03-17 14:48:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/iom-responds-powerful-floods-needs-deepen-earthquake-affected-communities,
"             2,000            ",     Damage    ,   Household     ,            Not Reported         ,"The floods have caused the death of at least 18 people, as well as damage to around 2,000 homes and workplaces, according to the Ministry of Interior.",Türkiye,2023-03-17 14:48:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/iom-responds-powerful-floods-needs-deepen-earthquake-affected-communities,
----------------,----------------,-----------------,-----------------------,"“More than 60 people could be staying in one room,” Sharouf describes.",Syria,2023-03-16 11:16:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/returnees-syria-compound-challenging-disaster-response-effort-fca-supporting-survivors-syria-earthquake-warm-clothes-and-cash-distributions,
       1        ,      -         ,    Household    ,            -          ,"“More than 60 people could be staying in one room,” Sharouf describes.",Syria,2023-03-16 11:16:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/returnees-syria-compound-challenging-disaster-response-effort-fca-supporting-survivors-syria-earthquake-warm-clothes-and-cash-distributions,
       -        ,   Destroyed    ,   Residence     ,            -          ,"“More than 60 people could be staying in one room,” Sharouf describes.",Syria,2023-03-16 11:16:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/returnees-syria-compound-challenging-disaster-response-effort-fca-supporting-survivors-syria-earthquake-warm-clothes-and-cash-distributions,
